"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Devise prix"	"Région"	"Non rachetable"	"Montant subséquent"	"Montant initial"	"Intérêt"	"Instrument financier"	"Fréquence"	"Échéance"	"Dividende"	"Date de dividende"	"Bourse"	"RM (%)"	"Rend. éché. - Marché (%)"	"Description"
"BAC.UN"	"058924"	"Fiducies de redevances"	"3308001"	"8,550"	"8,590"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,040"	"2006/10/27"	"TSE"	"0,00"	""	"BARCLAYS ADV CORP BND T/*"
"BAI.UN"	"058922"	"Fiducies de redevances"	"3308001"	"15,200"	"15,300"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,097"	"2006/10/27"	"TSE"	"0,00"	""	"BARCLAYS ADV S&P/TSX SR-*"
"BDS.UN"	"058925"	"Fiducies de redevances"	"3308001"	"12,520"	"12,800"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,082"	"2006/10/27"	"TSE"	"0,00"	""	"BARCLAYS INC+GRW SPLIT T*"
"BCS"	"058912"	"Actions ordinaires"	"3158000"	"18,020"	"18,040"	"USD"	"GB"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,065"	"2009/11/18"	"NYS"	"0,73"	""	"BARCLAYS PLC-ADR"
"BTH.UN"	"029970"	"Fiducies de redevances"	"3308001"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,079"	"2006/10/27"	"TSE"	"n/d"	""	"BARCLAYS TOP 100 E/W T/*"
"BARE"	"058290"	"Actions ordinaires"	"315"	"18,100"	"18,110"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""	"BARE ESCENTUALS INC"
"BRL"	"059962"	"Actions ordinaires"	"330"	"65,800"	"65,840"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NYS"	"n/d"	""	"BARR PHARMACEUTICALS(DEL*"
"ABX"	"059960"	"Actions ordinaires"	"315"	"38,070"	"38,090"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,200"	"2009/11/26"	"TSE"	"1,11"	""	"BARRICK GOLD CORP"
"DFZ"	"060104"	"Actions ordinaires"	"330"	"4,960"	"4,980"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""	"BARRY R.G. CORP OHIO"
"BF"	"061663"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"USD"	"DE"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"2,596"	"2009/04/28"	"NYS"	"n/d"	""	"BASF SE SPON ADR"
"BAS"	"061502"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"T"	"n/d"	""	"BASIS100 INC *"
""	"062212"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""	"BASTIEN INC"
"BTIOQ"	"063237"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""	"BATTERY TECHNOLOGIES INC"
""	"063246"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,000"	"2001/01/10"	""	"n/d"	""	"BATTLE MTN CDA -EXCH SHS*"
"BOL"	"063305"	"Actions ordinaires"	"330"	"64,980"	"64,990"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,130"	"2007/08/31"	"NYS"	"0,00"	""	"BAUSCH & LOMB INC *"
"BAX"	"063335"	"Actions ordinaires"	"315"	"58,980"	"58,990"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,290"	"2009/12/08"	"NYS"	"1,97"	""	"BAXTER INTL INC"
"BAY"	"063292"	"Actions ordinaires"	"3158000"	"0,000"	"0,000"	"USD"	"DE"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"1,893"	"2009/05/08"	"NYS"	"n/d"	""	"BAYER AG SPON ADR"
"BYV"	"063484"	"Actions ordinaires"	"330"	"0,260"	"0,295"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""	"BAYFIELD VENTURES CORP"
"BAY"	"063545"	"Actions ordinaires"	"330"	"0,095"	"0,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""	"BAYSWATER URANIUM CORP *"
"BYU"	"063547"	"Actions ordinaires"	"330"	"0,810"	"0,820"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TNX"	"n/d"	""	"BAYSWATER URANIUM CRP-NEW"
"BTE.DB"	"R40489"	"Débentures convertibles"	"2756000"	"211,580"	"217,650"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,500"	"Obligation"	"2"	"2010/12/31"	"0,000"	""	"TSE"	"3,07"	"59,764786"	"BAYTEX CV CB 6.5% 31DC10"
""	"063500"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2003/09/04"	""	"n/d"	""	"BAYTEX ENERGY LTD *"
"BTE.UN"	"063525"	"Fiducies de redevances"	"3158001"	"31,270"	"31,400"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,180"	"2010/01/27"	"TSE"	"6,88"	""	"BAYTEX ENERGY TRUST T/U"
"BBT"	"051692"	"Actions ordinaires"	"315"	"27,570"	"27,580"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,150"	"2010/01/06"	"NYS"	"2,18"	""	"BB&T CORPORATION"
""	"A27131"	"Obligations à escompte (autres)"	"2601155"	"71,863"	"71,863"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2008/03/18"	"0,000"	""	""	"n/d"	"0,000000"	"BBD ACC NTE 8.35%18MAR08*"
""	"051713"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,390"	""	""	"n/d"	""	"BC GAS INC *"
""	"B87539"	"Obligations provinciales"	"2601311"	"50,709"	"50,709"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2015/04/03"	"0,000"	""	""	"n/d"	"13,530329"	"BC NTB CB-00 9.83% 3AP15"
""	"051864"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,350"	""	""	"n/d"	""	"BC TELECOM INC *"
"BCC500"	"984980"	"Fonds de couverture"	"3807610"	"20,927"	"20,927"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"2"	""	"0,266"	"2009/12/31"	""	"2,54"	""	"BCC HIRSCH PERFORM/N"
"BCC009"	"933437"	"Fonds Billets Indexés"	"3807245"	"10,173"	"10,173"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""	"BCC MAN IP 220-4/S/N"
"BCC900"	"923644"	"Fonds Billets Indexés"	"3807245"	"9,396"	"9,396"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""	"BCC MAN MUL ST-A/S/N"
""	"R33591"	"Obligations à escompte (autres)"	"2756000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"1998/06/30"	"0,000"	""	""	"n/d"	"n/d"	"BCE DEV CORP CV8% 30JN98*"
""	"070620"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"1,450"	"2004/06/23"	""	"n/d"	""	"BCE EMERGIS INC *"
"BCE"	"070623"	"Actions ordinaires"	"315"	"27,610"	"27,650"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,405"	"2009/12/11"	"TSE"	"5,87"	""	"BCE INC"
"BCE"	"070615"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,330"	"2006/06/13"	"TSE"	"n/d"	""	"BCE INC *"
""	"070619"	"Actions privilégiées"	"310"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	"2004/01/15"	"0,400"	"2004/01/13"	""	"n/d"	""	"BCE INC $1.60 1ER PR-P *"
"BCE.PR.T"	"051994"	"Actions privilégiées fixes-flottantes"	"310"	"19,060"	"19,150"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,281"	"2009/12/29"	"TSE"	"5,88"	""	"BCE INC 4.502% 1ST PFD-T"
"BCE.PR.C"	"052385"	"Actions privilégiées fixes-flottantes"	"310"	"20,500"	"20,550"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,288"	"2010/01/28"	"TSE"	"5,61"	""	"BCE INC 4.60% 1ST PFD-AC"
""	"070613"	"Actions privilégiées"	"310"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,431"	""	""	"n/d"	""	"BCE INC 6.9% PR 1ER S-Q"
"BCE.PR.Z"	"052383"	"Actions privilégiées fixes-flottantes"	"310"	"19,050"	"19,180"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,271"	"2010/01/28"	"TSE"	"5,68"	""	"BCE INC CUM RED 1ST PFD-Z"
"BCE.PR.R"	"070628"	"Actions privilégiées fixes-flottantes"	"310"	"19,200"	"19,300"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,284"	"2010/01/28"	"TSE"	"5,88"	""	"BCE INC RED 1ST PFD-R"
""	"R35679"	"Obligations (autres)"	"2606000"	"101,721"	"101,721"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,750"	"Obligation"	"2"	"2007/10/30"	"0,000"	""	""	"6,64"	"0,000000"	"BCE INC SR-B 6.75%30OC07*"
""	"R35680"	"Obligations corporatives"	"2606000"	"102,512"	"102,512"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"7,350"	"Obligation"	"2"	"2009/10/30"	"0,000"	""	""	"7,17"	"0,000000"	"BCE INC SR-C 7.35%30OC09*"
"BCE.PR.Y"	"070622"	"Actions privilégiées à taux variable"	"310"	"20,300"	"20,400"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,047"	"2010/01/27"	"TSE"	"2,76"	""	"BCE INC TX/VR PFD SER-Y"
"BCE.PR.A"	"051775"	"Actions privilégiées fixes-flottantes"	"310"	"20,290"	"20,400"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,300"	"2010/01/28"	"TSE"	"5,88"	""	"BCE INC-CUM RAC PR PV-AA"
"BCE.PR.G"	"052203"	"Actions privilégiées fixes-flottantes"	"310"	"19,050"	"19,100"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,272"	"2009/12/29"	"TSE"	"5,69"	""	"BCE INC-CUM RED 1ST PF-AG"
"BCE.PR.S"	"051767"	"Actions privilégiées à taux variable"	"310"	"19,690"	"20,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,047"	"2010/01/27"	"TSE"	"2,86"	""	"BCE INC-PR 1ER CUM RACH-S"
""	"R35678"	"Obligations (autres)"	"2606000"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,200"	"Obligation"	"2"	"2006/10/30"	"0,000"	""	""	"6,20"	"0,000000"	"BCE SER A 6.2% 30OC06"
""	"R75513"	"Obligations corporatives"	"2602230"	"107,521"	"107,521"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,750"	"Obligation"	"2"	"2014/12/22"	"0,000"	""	""	"4,42"	"3,085813"	"BCIC 4.75% 22DC14"
""	"R75482"	"Obligations corporatives"	"2602230"	"100,583"	"100,583"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,500"	"Obligation"	"2"	"2014/10/15"	"0,000"	""	""	"4,47"	"4,360578"	"BCIC CB-09 4.5%-V/R15OC14"
""	"R74830"	"Obligations (autres)"	"2602230"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"7,000"	"Obligation"	"2"	"2011/10/23"	"0,000"	""	""	"7,00"	"6,990693"	"BCIC CB06 F/R 7% 23OC11"
""	"R75655"	"Obligations corporatives"	"2602230"	"104,778"	"104,778"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,350"	"Obligation"	"2"	"2011/11/01"	"0,000"	""	""	"4,15"	"1,592976"	"BCIC DEP/NT 4.35% 1NV11"
""	"R75370"	"Obligations corporatives"	"2602230"	"102,523"	"102,523"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,950"	"Obligation"	"2"	"2010/09/02"	"0,000"	""	""	"4,83"	"0,723197"	"BCIC DEP/NT 4.95% 2SP10"
""	"R75714"	"Obligations corporatives"	"2602230"	"107,259"	"107,259"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,000"	"Obligation"	"2"	"2012/09/10"	"0,000"	""	""	"4,66"	"2,137009"	"BCIC SR-01413 ND 5%10SP12"
""	"R75798"	"Fiducie de capital"	"2602240"	"131,762"	"131,762"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"9,976"	"Obligation"	"2"	"2058/06/30"	"0,000"	""	""	"7,57"	"7,518319"	"BCIC-A C19 9.976%30JN2108"
""	"052136"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,350"	""	""	"n/d"	""	"BCT.TELUS COMM NV SHR*"
""	"052135"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,350"	""	""	"n/d"	""	"BCT.TELUS COMM INC COM *"
""	"R91348"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,100"	"Obligation"	"1"	"2010/10/04"	"0,000"	""	""	"4,10"	"4,100000"	"BCW CPG NCI 4.1% 4OC10A"
""	"R90134"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,200"	"Obligation"	"1"	"2012/03/07"	"0,000"	""	""	"4,20"	"4,200000"	"BCW CPG NCI 4.2% 7MR12A"
""	"R90165"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,200"	"Obligation"	"1"	"2012/03/12"	"0,000"	""	""	"4,20"	"4,200000"	"BCW CPG NCI 4.2% 12MR12A"
""	"R91133"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2012/09/11"	"0,000"	""	""	"4,30"	"4,300000"	"BCW CPG NCI 4.3% 11SP12A"
""	"R92088"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,400"	"Obligation"	"1"	"2013/12/09"	"0,000"	""	""	"4,40"	"4,400000"	"BCW CPG NCI 4.4% 9DC13A"
""	"R92460"	"Certificats de dépôt (intérêts composés)"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,270"	"Obligation"	"1"	"2011/01/17"	"0,000"	""	""	"3,27"	"3,270000"	"BCW CPG NCI 3.27%17JA11CA"
""	"R90179"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,750"	"Obligation"	"1"	"2010/03/12"	"0,000"	""	""	"3,75"	"3,750000"	"BCW CPG NCI 3.75% 12MR10A"
""	"R86864"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,220"	"Obligation"	"1"	"2011/01/24"	"0,000"	""	""	"4,22"	"4,220000"	"BCW CPG NCI 4.22% 24JA11A"
""	"R87023"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,250"	"Obligation"	"1"	"2011/02/21"	"0,000"	""	""	"4,25"	"4,250000"	"BCW CPG NCI 4.25% 21FV11A"
""	"R86897"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,250"	"Obligation"	"1"	"2010/01/29"	"0,000"	""	""	"4,25"	"4,250000"	"BCW CPG NCI 4.25% 29JA10A"
""	"R90981"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,310"	"Obligation"	"1"	"2012/08/22"	"0,000"	""	""	"4,31"	"4,310000"	"BCW CPG NCI 4.31% 22AU12A"
""	"R91386"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,350"	"Obligation"	"1"	"2011/10/11"	"0,000"	""	""	"4,35"	"4,350000"	"BCW CPG NCI 4.35% 11OC11A"
""	"R92087"	"Certificats de dépôt (intérêts composés)"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,400"	"Obligation"	"1"	"2013/12/09"	"0,000"	""	""	"4,40"	"4,400000"	"BCW CPG NCI 4.4% 9DC13CA"
""	"R91671"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,410"	"Obligation"	"1"	"2011/11/03"	"0,000"	""	""	"4,41"	"4,410000"	"BCW CPG NCI 4.41% 3NV11A"
""	"R89695"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,425"	"Obligation"	"1"	"2011/01/24"	"0,000"	""	""	"4,43"	"4,425000"	"BCW CPG NCI 4.425%24JA11A"
""	"R91446"	"Certificats de dépôt (intérêts composés)"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,660"	"Obligation"	"1"	"2013/10/15"	"0,000"	""	""	"4,66"	"4,660000"	"BCW CPG NCI 4.66%15OC13CA"
""	"R89712"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,750"	"Obligation"	"1"	"2013/01/10"	"0,000"	""	""	"4,75"	"4,750000"	"BCW CPG NCI 4.75% 10JA13A"
""	"R87926"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,950"	"Obligation"	"1"	"2010/07/05"	"0,000"	""	""	"4,95"	"4,950000"	"BCW CPG NCI 4.95% 5JL10A"
""	"R87851"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,950"	"Obligation"	"1"	"2010/06/29"	"0,000"	""	""	"4,95"	"4,950000"	"BCW CPG NCI 4.95% 29JN10A"
""	"R87843"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,950"	"Obligation"	"1"	"2010/06/28"	"0,000"	""	""	"4,95"	"4,950000"	"BCW CPG NCI 4.95%28JN10A"
""	"R88326"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,030"	"Obligation"	"1"	"2012/08/15"	"0,000"	""	""	"5,03"	"5,030000"	"BCW CPG NCI 5.03% 15AU12A"
""	"R89050"	"Certificats de dépôt"	"2202210"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"5,050"	"Obligation"	"1"	"2012/10/25"	"0,000"	""	""	"5,05"	"5,050000"	"BCW CPG NCI 5.05% 25OC12A"
"BCX.PR.A"	"051743"	"Actions privilégiées"	"3108005"	"15,540"	"15,730"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,177"	"2008/07/30"	"TSE"	"0,00"	""	"BCX SPLIT CORP PFD"
""	"051755"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""	"BCX SPLIT CORP PFD-TEMP"
""	"A27149"	"Obligations (autres)"	"2601155"	"0,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,500"	"Obligation"	"1"	"2007/06/04"	"0,000"	""	""	"6,50"	"0,000000"	"BDB-SU-CLB 99-6.5% 4JN07A"
""	"101784"	"Billets Indexés"	"330"	"9,560"	"9,660"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2010/11/19"	"0,000"	""	""	"n/d"	""	"BDC ARMS P/N SR-4A 2010"
"TCC107"	"974631"	"Fonds Billets Indexés"	"3807245"	"107,217"	"107,217"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""	"BDC BIL LIES-N7A/S/N"
""	"A27547"	"Billets Indexés"	"2601155"	"125,130"	"125,130"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2011/12/16"	"0,000"	""	""	"n/d"	""	"BDC CH D IAPN-1 TV 16DC11"
""	"A27314"	"Obligations (autres)"	"2601155"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,400"	"Obligation"	"2"	"2008/09/15"	"0,000"	""	""	"4,40"	"0,000000"	"BDC EX-18 TP 4.4% 15SP08"
"TCC800"	"957455"	"Billets Indexés"	"3807950"	"10,000"	"10,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2010/02/26"	"0,000"	"2003/10/29"	""	"n/d"	""	"BDC INCM SER-800/D/N"
"TCC008"	"954341"	"Fonds Billets Indexés"	"3807245"	"105,871"	"105,871"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""	"BDC MG FUT NT-N8/S/N"
""	"A27334"	"Billets Indexés"	"2601155"	"100,304"	"100,304"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	"2010/05/28"	"0,000"	""	""	"n/d"	""	"BDC MONTRU S-1 28MI10"
"OPS341"	"967174"	"Fonds Billets Indexés"	"3807245"	"83,830"	"83,830"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""	"BDC TOP15 PHARM1/S/N"
""	"064010"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""	"BEAMSCOPE CDA INC"
"BSC"	"064285"	"Actions ordinaires"	"315"	"9,320"	"9,360"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,320"	"2008/01/11"	"NYS"	"0,00"	""	"BEAR STEARNS COS INC *"
"BTP"	"064374"	"Actions ordinaires"	"330"	"0,005"	"0,010"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""	"BEARTOOTH PLATINUM CORP *"
""	"Q04514"	"Obligations municipales & para-gouvernementales"	"2601411"	"102,543"	"102,543"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2012/03/03"	"0,000"	""	""	"3,90"	"2,745697"	"BEAUCEVILLE BM 4% 3MR12"
"BFD"	"065455"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""	"BEAUFIELD CONS RESOURCES*"
""	"Q04640"	"Obligations municipales & para-gouvernementales"	"2601411"	"103,929"	"103,929"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2012/04/24"	"0,000"	""	""	"3,85"	"2,195185"	"BEAUHARNOIS ICS 4% 24AV12"
""	"Q04583"	"Obligations municipales & para-gouvernementales"	"2601411"	"101,785"	"101,785"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,750"	"Obligation"	"2"	"2011/09/25"	"0,000"	""	""	"3,68"	"2,644103"	"BEAUPRE BM 3.75% 25SP11"
""	"Q04811"	"Obligations municipales & para-gouvernementales"	"2601411"	"104,432"	"104,432"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,200"	"Obligation"	"2"	"2012/12/27"	"0,000"	""	""	"4,02"	"2,613178"	"BEAUPRE ICS 4.2% 27DC12"
"BEBE"	"066977"	"Actions ordinaires"	"315"	"6,010"	"6,030"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,025"	"2009/11/25"	"NAS"	"1,66"	""	"BEBE STORES INC"
""	"Q04654"	"Obligations municipales & para-gouvernementales"	"2601411"	"99,953"	"99,953"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"2,500"	"Obligation"	"2"	"2012/11/03"	"0,000"	""	""	"2,50"	"2,516939"	"BECANCOUR ICS 2.5% 3NV12"
""	"Q04791"	"Obligations municipales & para-gouvernementales"	"2601411"	"100,765"	"100,765"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,600"	"Obligation"	"2"	"2010/05/10"	"0,000"	""	""	"3,57"	"0,948152"	"BECANCOUR ICS 3.6%10MI10"
"BDX"	"067306"	"Actions ordinaires"	"315"	"75,730"	"75,770"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,370"	"2009/12/10"	"NYS"	"1,95"	""	"BECTON DICKINSON &CO"
"BBBY"	"067350"	"Actions ordinaires"	"315"	"39,050"	"39,070"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""	"BED BATH AND BEYOND INC"
