Symbol	Security	Subcategory	Type	Bid	Ask	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Risk Rating Source	Risk Rating	Region	Non-redeemable	Maturity	Market	Manual overwrite	Last Rating Change	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing	Description
EMC	239329	Common Stock	315	16.94	16.96	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EMC CORP (MASS)
EMA	250010	Common Stock	315	24.1	24.11	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	01/28/2010	0.273	4.52		No	EMERA INCORPORATED
	251213	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EMERCOR BUILDING SYS LTD
EME	251235	Common Stock	330	8.24	8.25	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EMERGIS INC *
EMR	251207	Common Stock	315	42.52	42.54	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/10/2009	0.335	3.15		No	EMERSON ELECTRIC CO
OPU724	972753	US Equity Funds	3807255	8.151	8.151	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMI US S/M CP P603/N
OPU720	972749	Bond Funds	3807700	10.841	10.841	CAD								n/a	Fallback by Subcategory	2	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS CD FX IM P603/N
OPU730	972755	Bond Funds	3807700	10.841	10.841	CAD								n/a	Fallback by Subcategory	2	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS CD FX IM P604/N
OPU251	977227	Canadian Equity Funds	3807150	11.691	11.691	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	1	Mutual Fund	12/22/2008	1.239	10.6		No	EMIS CDN EQTY /N
OPU721	972750	Canadian Equity Funds	3807150	11.691	11.691	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS CDN EQY P603 /N
OPU731	972756	Canadian Equity Funds	3807150	11.691	11.691	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS CDN EQY P604 /N
OPU725	972754	International Equity Funds	3807300	8.081	8.081	CAD								n/a	Fallback by Subcategory	4	ZZ	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS INL EAFE P603/N
OPU735	972760	International Equity Funds	3807300	8.081	8.081	CAD								n/a	Fallback by Subcategory	4	ZZ	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS INL EAFE P604/N
OPU734	972759	US Equity Funds	3807255	8.151	8.151	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS U S/M CP P604/N
OPU733	972758	US Equity Funds	3807250	5.593	5.593	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS US GRW P604 /N
OPU723	972752	US Equity Funds	3807250	5.593	5.593	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS US GRWTH P603/N
OPU732	972757	US Equity Funds	3807250	5.718	5.718	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS US VAL P604 /N
OPU722	972751	US Equity Funds	3807250	5.718	5.718	CAD								n/a	Fallback by Subcategory	3	US	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EMIS US VALUE P603/N
EMP.A	251660	Common Stock	330	48.5	48.74	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	01/13/2010	0.185	1.53		No	EMPIRE CO CL-A NV
	252164	Common Stock	330	20	20	USD								n/a	Fallback by Subcategory	6	US	No		NY	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EMPLOYEE BENEFIT PLANS *
	239397	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EMR MICROWAVE TECH CORP *
	T32418	Corporate Bonds	2606000	107.121	107.121	CAD								n/a	Fallback by Subcategory	3	CA	No	08/09/2016		No	01/25/2010	5	n/a	2	Bond		0	4.67	3.761418	No	ENBRIDGE 5% 9AG16
	252347	Preferred Shares	3108003	0	0	CAD								n/a	Fallback by Subcategory	5	CA	No	01/01/2075		No	01/25/2010	0	n/a	4	Equity		0.475	n/a		No	ENBRIDGE 7.60 PFD COPRS *
EEP	252359	Common Stock	3158002	54.26	54.31	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/03/2009	0.99	7.3		No	ENBRIDGE EN PRTNRS-A LPU
	T32430	Bonds (other)	2606000	110.615	110.615	CAD								n/a	Fallback by Subcategory	3	CA	No	01/29/2014		No	01/25/2010	5.57	n/a	2	Bond		0	5.04	2.756179	No	ENBRIDGE GAS 5.57% 29JA14
ENB	252343	Common Stock	315	46.68	46.86	CAD								n/a	External Feed	7	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	11/12/2009	0.37	3.17		No	ENBRIDGE INC
	V15112	Corporate Bonds	2606000	100.162	100.162	CAD								n/a	Fallback by Subcategory	3	CA	No	02/15/2010		No	01/25/2010	3.95	n/a	2	Bond		0	3.94	1.090301	No	ENBRIDGE INC 3.95% 15FB10
	V15115	Bonds (other)	2606000	106.729	106.729	CAD								n/a	Fallback by Subcategory	3	CA	No	03/25/2013		No	01/25/2010	4.67	n/a	2	Bond		0	4.38	2.445244	No	ENBRIDGE INC 4.67% 25MR13
ENB.PR.D	252361	Corporate Bonds	3108003	0	0	CAD								n/a	Fallback by Subcategory	3	CA	No	03/31/2051	TSE	No	01/25/2010	0	n/a	4	Bond	12/13/2005	0.488	n/a	n/a	No	ENBRIDGE INC 7.8%PF COPR*
	252358	Preferred Shares	3108003	0	0	CAD								n/a	Fallback by Subcategory	5	CA	No	01/01/2075		No	01/25/2010	0	n/a	4	Equity		0.5	n/a		No	ENBRIDGE INC 8% PFD-COPR*
ENF.UN	252352	Trust Units	3308001	12.86	12.9	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	01/27/2010	0.096	8.93		No	ENBRIDGE INCM FND ORD T/U
	T32395	Corporate Bonds	2606000	106.233	106.233	CAD								n/a	Fallback by Subcategory	3	CA	No	12/17/2012		No	01/25/2010	4.46	n/a	2	Bond		0	4.2	2.22268	No	ENBRIDGE PPL 4.46% 17DC12
	T32383	Corporate Bonds	2606000	107.899	107.899	CAD								n/a	Fallback by Subcategory	3	CA	No	02/12/2029		No	01/25/2010	6.05	n/a	2	Bond		0	5.61	5.381687	No	ENBRIDGE PPL 6.05% 12FB29
	T32429	Corporate Bonds	2606000	110.47	110.47	CAD								n/a	Fallback by Subcategory	3	CA	No	01/18/2018		No	01/25/2010	5.8	n/a	2	Bond		0	5.25	4.239741	No	ENCANA CB 5.8% 18JA18
	T32386	Bonds (other)	2606000	100	0	CAD								n/a	Fallback by Subcategory	3	CA	No	03/23/2034		No	01/25/2010	7	n/a	2	Bond		0	7	6.998876	No	ENCANA CB-04 7% 23MR34*
ECA	252362	Common Stock	315	34.28	34.45	CAD								n/a	Fallback by Subcategory	6	CA	Yes		TSE	No	01/25/2010	0	n/a	4	Equity	12/17/2009	0.2	2.46		No	ENCANA CORP
	252367	Preferred Shares	3108003	0	0	CAD								n/a	Fallback by Subcategory	5	CA	No	01/01/2075		No	01/25/2010	0	n/a	4	Equity	06/11/2004	0.531	n/a		No	ENCANA CORP PFD 8.5%COPR*
EDV	252981	Common Stock	330	1.7	1.73	CAD								n/a	Fallback by Subcategory	6	ZZ	No		TSE	No	01/25/2010	0	n/a	12	Equity	01/26/2009	0.03	21.18		No	ENDEAVOUR FINANCIAL CORP
ELE	252759	Common Stock	3308000	47.625	47.625	USD								n/a	Fallback by Subcategory	6	ZZ	No		NYS	No	01/25/2010	0	n/a	0	Equity	09/18/2007	0.15	n/a		No	ENDESA S.A. ADR *
ELGX	252786	Common Stock	330	5.16	5.17	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENDOLOGIX INC
ENLAY	253135	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	ZZ	No		NAS	No	01/25/2010	0	n/a	0	Equity	11/23/2009	0.149	n/a		No	ENEL SPA ADR
EN	252903	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	ZZ	No		NYS	No	01/25/2010	0	n/a	0	Equity	06/23/2008	2.278	n/a		No	ENEL SPA - SPON ADR
EFX.UN	252851	Trust Units	3308001	14.46	14.49	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	12/29/2009	0.3	8.28		No	ENERFLEX SYS INCM FD T/U
EDP	248357	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	ZZ	No		NYS	No	01/25/2010	0	n/a	0	Equity	05/11/2009	1.897	n/a		No	ENERGIAS DE POR S/ADR
ENR	252920	Common Stock	315	59.06	59.1	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENERGIZER HOLDINGS INC
EAS	252853	Common Stock	330	28.56	28.58	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	07/24/2008	0.31	4.34		No	ENERGY EAST CORP *
EFR	253706	Common Stock	330	0.25	0.26	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENERGY FUELS INC
EPL	252945	Common Stock	315	0	0	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENERGY PARTNERS LTD *
EPF.UN	253029	Trust Units	3308001	6.75	6.86	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	01/27/2010	0.043	7.5		No	ENERGY PLUS INCM FD T/U
ES	252947	Common Stock	3308005	9.75	9.94	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	12/07/2009	0.29	11.9		No	ENERGY SPLIT CORP INC
SIF.UN	252858	Trust Units	3308001	11.09	11.18	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	05/13/2009	0.103	11.17		No	ENERGY SVGS INCM FND T/U*
	994823	Miscellaneous	380	11.1	11.1	CAD								n/a	Fallback by Subcategory	10	CA	No			No	01/25/2010	0	n/a	0	Other		0	n/a		No	ENERPLUS ENERGY II *
ERF.UN	253432	Trust Units	3158001	23.8	23.91	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	12/29/2009	0.18	9.07		No	ENERPLUS RESOURCES FD T/U
	253039	Trust Units	3308001	11.73	11.77	CAD								n/a	Fallback by Subcategory	5	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENERVEST DVF INC T/U-TEMP
EIT.UN	252936	Trust Units	3308001	12.9	12.94	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	01/27/2010	0.1	9.3		No	ENERVEST DVF INCM T/U-NEW
NLEO040	253104	Equity Funds	3807100	13.32	13.32	CAD								n/a	Fallback by Subcategory	4	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	ENERVEST NTL RESC /N
ESL	253119	Common Stock	330	7.92	8	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	11/12/2009	0.03	1.5		No	ENGHOUSE SYSTEMS LTD
EASI	252877	Common Stock	315	43.02	43.07	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	2	Equity	06/28/2005	0.018	0.08		No	ENGINEERED SUPPORT SYS *
EOR	253786	Common Stock	330	0.2	0.215	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENHANCED OIL RESOURCES
E	252991	Common Stock	3158000	48.64	48.67	USD								n/a	Fallback by Subcategory	6	ZZ	No		NYS	No	01/25/2010	0	n/a	2	Equity	09/21/2009	1.464	6.01		No	ENI S P A ADR
	253075	Common Stock	330	0	0	USD								n/a	Fallback by Subcategory	6	US	No			No	01/25/2010	0	n/a	4	Equity		0	n/a		No	ENRON CORP *
ESV	239389	Common Stock	330	42.22	42.24	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	12/03/2009	0.025	0.24		No	ENSCO INTERNATIONAL INC *
ESI	253173	Common Stock	315	15.87	15.93	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	12/17/2009	0.088	2.2		No	ENSIGN ENERGY SVCS INC
ETS	253362	Common Stock	315	1.26	1.27	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENTERASYS NETWORKS INC *
ETR	253136	Common Stock	315	78.69	78.72	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/09/2009	0.75	3.81		No	ENTERGY CORP
EOF.UN	253325	Trust Units	3308001	3.57	3.59	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity	05/29/2006	0	n/a		No	ENTERTAINMNT ONE INCM T/U
ENTU	253338	Common Stock	330	1.99	2	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENTRUST INC *
ESWW	253216	Common Stock	330	0.57	0.69	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ENVIRO SOLUTIONS WORLDWID
EOG	253383	Common Stock	315	94.93	94.95	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	01/13/2010	0.145	0.61		No	EOG RESOURCES INC
EPE.PR.A	240308	Retractable Preferred Shares	310	24.95	25	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	09/13/2007	0.344	5.51		No	EPCOR PF EQ C/RD 1ST PF-*
EPP.PR.A	241551	Fixed Rate Perpetual Preferred Shares	310	17.35	17.39	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	09/15/2009	0.303	6.97		No	EPCOR POWER EQ CR S1 PFD*
EPP.PR.B	241566	Preferred Shares	310	26.11	26.39	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity		0	0		No	EPCOR POWER EQTY S-2 PFD*
EP.UN	240254	Trust Units	3308002	0	0	USD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	12	Equity	10/28/2009	0.147	12.38		No	EPCOR POWER LPU *
EPHO	253286	Common Stock	330	0	0	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EPHONE TELECOM INC
	253258	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EPIC BEVERAGES LTD
EKD	253263	Common Stock	330	0.165	0.29	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EPIC DATA INTL INC
EPIQ	253430	Common Stock	315	12.52	12.53	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EPIQ SYSTEMS INC
	T36935	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	08/13/2012		No	01/25/2010	2.7	n/a	1	Bond		0	2.7	2.7	No	EQT GIC NCI 2.7% 13AG12A
	T36024	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	08/06/2013		No	01/25/2010	4.7	n/a	1	Bond		0	4.7	4.7	No	EQT GIC NCI 4.7% 6AG13A
	T35982	Term Deposits (Compound Interest)	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	07/30/2013		No	01/25/2010	4.7	n/a	1	Bond		0	4.7	4.7	No	EQT GIC NCI 4.7%30JL13CA
	T35240	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	08/24/2012		No	01/25/2010	4.9	n/a	1	Bond		0	4.9	4.9	No	EQT GIC NCI 4.9% 24AG12A
	T34706	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	01/10/2012		No	01/25/2010	4.17	n/a	1	Bond		0	4.17	4.17	No	EQT GIC NCI 4.17% 10JA12A
	T35700	Term Deposits (Compound Interest)	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	04/02/2013		No	01/25/2010	4.45	n/a	1	Bond		0	4.45	4.45	No	EQT GIC NCI 4.45% 2AP13CA
	T35616	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	02/11/2013		No	01/25/2010	4.55	n/a	1	Bond		0	4.55	4.55	No	EQT GIC NCI 4.55% 11FB13A
	T35650	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	03/04/2013		No	01/25/2010	4.61	n/a	1	Bond		0	4.61	4.61	No	EQT GIC NCI 4.61% 4MR13A
	T35707	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	04/08/2013		No	01/25/2010	4.65	n/a	1	Bond		0	4.65	4.65	No	EQT GIC NCI 4.65% 8AP13A
	T35387	Term Deposits (Compound Interest)	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	10/04/2012		No	01/25/2010	4.81	n/a	1	Bond		0	4.81	4.81	No	EQT GIC NCI 4.81% 4OC12CA
	T35514	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	12/05/2012		No	01/25/2010	4.95	n/a	1	Bond		0	4.95	4.95	No	EQT GIC NCI 4.95% 5DC12A
	T35509	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	12/04/2012		No	01/25/2010	4.96	n/a	1	Bond		0	4.96	4.96	No	EQT GIC NCI 4.96% 4DC12A
	T35094	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	07/04/2012		No	01/25/2010	5.02	n/a	1	Bond		0	5.02	5.02	No	EQT GIC NCI 5.02% 4JL12A
	T35104	Certificates of Deposit	2203010	100	100	CAD								n/a	Fallback by Subcategory	2	CA	No	07/06/2012		No	01/25/2010	5.06	n/a	1	Bond		0	5.06	5.06	No	EQT GIC NCI 5.06% 6JL12A
EQF	253483	Common Stock	330	0.82	0.85	CAD								n/a	Fallback by Subcategory	6	CA	No		V	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EQUICAP FINANCIAL CORP *
EFX	253345	Common Stock	315	31.85	31.87	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/20/2009	0.04	0.5		No	EQUIFAX INC
EQY	254285	Common Stock	3158008	16.95	16.96	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	12/11/2009	0.22	5.19		No	EQUITY ONE INC
ERIC	254383	Common Stock	3158000	9.8	9.81	USD								n/a	Fallback by Subcategory	6	ZZ	No		NAS	No	01/25/2010	0	n/a	0	Equity	04/23/2009	0.229	n/a		No	ERICSSON L M TEL ADR
EBKDY	254496	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	ZZ	No		NAS	No	01/25/2010	0	n/a	0	Equity	05/12/2009	0.453	n/a		No	ERSTE GROUP BANK AG-ADR
	839526	Miscellaneous	340	0	0	CAD								n/a	Fallback by Subcategory	10	US	No			No	01/25/2010	0	n/a	0	Other		0	n/a		No	ESCROW-MIRANT CORP
EPZ	255143	Common Stock	330	1.14	1.16	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ESPERANZA SILVER CORP
EEE.DB	Y22486	Convertible Debentures	2756000	100.16	100.75	CAD								n/a	Fallback by Subcategory	6	CA	No	12/31/2010	TSE	No	01/25/2010	0	n/a	0	Bond		0	n/a	0	No	ESPRIT E-10 CV6.5%31DC10*
	255178	Trust Units	3308001	0	0	CAD								n/a	Fallback by Subcategory	5	CA	No			No	01/25/2010	0	n/a	12	Equity	06/28/2005	0.14	n/a		No	ESPRIT ENERGY-CL B T/U *
ESN.UN	256987	Trust Units	3308001	1.26	1.27	CAD								n/a	Fallback by Subcategory	5	CA	No		TSE	No	01/25/2010	0	n/a	4	Equity	09/28/2009	0.01	3.17		No	ESSENTIAL ENGY SVCS T/U
ESLOY	255255	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	FR	No		NAS	No	01/25/2010	0	n/a	1	Equity	05/18/2009	0.458	1.56		No	ESSILOR INTL SA ADR
ESNSF	255313	Common Stock	330	0	0	USD								n/a	Fallback by Subcategory	6	CA	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	ESTATION NETWORK SERVICES
EFI062C	994963	Canadian Bonds & Income Funds	3807700	11.25	11.25	CAD								n/a	Fallback by Subcategory	2	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	ETHICAL REV
EU	752525	Currencies	9008016	1.477	1.477	CAD								n/a			ZZ	No			No		0	n/a	0	Currency		0	n/a		No	EURO CURRENCY
ENIVF	256334	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EURO-NET INV LTD
	255439	Common Stock	330	0.03	0.03	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity	10/25/2000	0	n/a		No	EURO-NET INVESTMENT LTD *
EF	255329	Common Stock	3308015	13.92	13.97	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	1	Equity	12/13/2004	0.775	5.57		No	EUROPE FUND INC *
EADSY	256162	Common Stock	3308000	0	0	USD								n/a	Fallback by Subcategory	6	ZZ	No		NAS	No	01/25/2010	0	n/a	1	Equity	06/02/2008	0.187	1.31		No	EUROPEAN AERO DEFENSE ADR
EGU	255559	Common Stock	315	5.46	5.47	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EUROPEAN GOLDFIELDS LTD
ETI	255993	Common Stock	330	0	0	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EVEN TECHNOLOGIES INC
EIS.DB	T33162	Convertible Debentures	2756000	73	77	CAD								n/a	Fallback by Subcategory	6	CA	No	06/30/2011	TSE	No	01/25/2010	7	n/a	2	Bond		0	9.46	30.782131	No	EVEREADY CV L33 7%30JN1*
EIS.DB	T33163	Bonds (other)	2756000	99.2	99.2	CAD								n/a	Fallback by Subcategory	3	CA	No	06/30/2011	TSE	No	01/25/2010	7	n/a	2	Bond		0	7.06	7.594739	No	EVEREADY INC CV 7% 30JN11
TNA	256785	Common Stock	330	0.025	0.04	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EVERGREEN GAMING CORP
EVO460	970342	Canadian Equity Funds	3807152	0	0	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EVO QSSP /N
	255548	Common Stock	330	0.51	0.51	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EX FUND CAPITAL INC -RSTD
	994899	Canadian Equity Funds	3807150	0.343	0.343	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	0	Mutual Fund		0	n/a		No	EXAR REAL PPTY /N
EXM	255577	Common Stock	315	6.38	6.4	USD								n/a	Fallback by Subcategory	6	ZZ	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/18/2008	0.4	25		No	EXCEL MARITIME CARRIERS
EIF.DB.A	T36984	Bonds (other)	2756000	100.5	102	CAD								n/a	Fallback by Subcategory	3	CA	No	09/30/2014	TSE	No	01/25/2010	7.5	n/a	1	Bond		0	7.46	7.345482	No	EXCH INCM-G CV 7.5%30SP14
EXC	256309	Common Stock	315	46.07	46.08	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	4	Equity	11/10/2009	0.525	4.56		No	EXELON CORP
XLT	256857	Common Stock	330	0.015	0.025	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXELTECH AEROSPACE INC
EXF	256157	Common Stock	330	5.55	5.6	CAD								n/a	Fallback by Subcategory	6	CA	No		TSE	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXFO ELECTRO-OPTIC ENG SV
	255716	Common Stock	330	0	0	USD								n/a	Fallback by Subcategory	6	US	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXODUS COMMUNICATION INC*
EXP400	926220	Canadian Equity Funds	3807150	9.905	9.905	CAD								n/a	Fallback by Subcategory	3	CA	No			No	01/25/2010	0	n/a	1	Mutual Fund	12/31/2009	0.034	0.35		No	EXP CDN FOC PTF-R /N
EXPE	255779	Common Stock	315	21.74	21.75	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPEDIA INC
	621878	Common Stock	330	0.4	0.4	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPL LINE ISLANDS-S/E MIN
MSU	255899	Common Stock	330	0.21	0.22	CAD								n/a	Fallback by Subcategory	6	CA	No		TSX	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPLORATION MALARTIC STH*
	256881	Common Stock	3308002	14.15	14.15	CAD								n/a	Fallback by Subcategory	6	CA	No			No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPLORER III RESOURCE LPU
ESRX	255855	Common Stock	315	85.88	85.89	USD								n/a	Fallback by Subcategory	6	US	No		NAS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPRESS SCRIPTS INC COM
XJT	255891	Common Stock	315	0	0	USD								n/a	Fallback by Subcategory	6	US	No		NYS	No	01/25/2010	0	n/a	0	Equity		0	n/a		No	EXPRESSJET HOLDINGS INC *
EXE.DB.A	T36231	Convertible Debentures	2756000	103.25	104	CAD								n/a	Fallback by Subcategory	6	CA	No	06/30/2013	TSE	No	01/25/2010	7.25	n/a	2	Bond		0	6.97	5.942032	No	EXTCR REIT CV 7.25%30JN13
