"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"MY (%)"	"YTM - Market (%)"	"Exclude from Billing"
"CAPITALSOURCE INC"	"CSE"	"145439"	"Common Stock"	"315"	"4.840"	"4.850"	"4.860"	"USD"	"0.82"	""	"No"
"CAPTARIS INC *"	"CAPA"	"145562"	"Common Stock"	"330"	"4.790"	"4.800"	"4.760"	"USD"	"n/a"	""	"No"
"CAPVEST INCOME CORP"	"CVS"	"145120"	"Common Stock"	"330"	"0.105"	"0.110"	"0.105"	"CAD"	"n/a"	""	"No"
"CARA OPERATIONS LIMITED *"	"CAO"	"145656"	"Common Stock"	"330"	"1.700"	"0.000"	"0.000"	"CAD"	"11.76"	""	"No"
"CARBIZ INC"	"CBZFF"	"145918"	"Common Stock"	"330"	"0.015"	"0.034"	"0.016"	"USD"	"n/a"	""	"No"
"CARDINAL HEALTH INC"	"CAH"	"146078"	"Common Stock"	"315"	"32.210"	"32.220"	"32.210"	"USD"	"2.17"	""	"No"
"CARDIOCOMM SOLUTIONS INC*"	"CCG"	"146070"	"Common Stock"	"330"	"0.030"	"0.045"	"0.030"	"CAD"	"n/a"	""	"No"
"CARDIODYNAMICS INTL *"	"CDIC"	"146055"	"Common Stock"	"330"	"0.260"	"0.270"	"0.260"	"USD"	"n/a"	""	"No"
"CARDIOME PHARMA CORP"	"COM"	"146079"	"Common Stock"	"315"	"5.530"	"5.550"	"5.530"	"CAD"	"n/a"	""	"No"
"CARDIOME PHARMA CORP *"	""	"146077"	"Common Stock"	"330"	"2.000"	"2.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CARDIOPULMONARY TECH INC"	""	"146058"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"CAREER EDUCATION CORP"	"CECO"	"146160"	"Common Stock"	"315"	"23.110"	"23.150"	"23.110"	"USD"	"n/a"	""	"No"
"CAREFUSION CORP"	"CFN"	"146108"	"Common Stock"	"315"	"27.500"	"27.510"	"27.500"	"USD"	"n/a"	""	"No"
"CARENA DEVELOPMENTS LTD *"	""	"146073"	"Common Stock"	"330"	"0.580"	"0.580"	"0.580"	"USD"	"27.69"	""	"No"
"CAREVEST 1ST MIC PFD RSTD"	""	"146135"	"Preferred Shares"	"3108009"	"1.000"	"1.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CARIBBEAN UTILITIES"	"CUP.U"	"146313"	"Common Stock"	"330"	"8.570"	"8.600"	"8.570"	"USD"	"7.70"	""	"No"
"CARIGNAN BEO 1.5% 16SP11"	""	"Q07111"	"Municipal & Para-governmental Bonds"	"2601411"	"99.365"	"99.365"	"99.365"	"CAD"	"1.51"	"1.895080"	"No"
"CARIGNAN BEO 2.25% 16SP12"	""	"Q07112"	"Municipal & Para-governmental Bonds"	"2601411"	"99.530"	"99.530"	"99.530"	"CAD"	"2.26"	"2.434485"	"No"
"CARIGNAN BEO 3.25% 16SP14"	""	"Q07114"	"Municipal & Para-governmental Bonds"	"2601411"	"99.801"	"99.801"	"99.801"	"CAD"	"3.26"	"3.295997"	"No"
"CARLETON-M BEO 1.5%21JL11"	""	"Q07354"	"Municipal & Para-governmental Bonds"	"2601411"	"99.511"	"99.511"	"99.511"	"CAD"	"1.51"	"1.834378"	"No"
"CARMANAH RES LTD *"	""	"146642"	"Common Stock"	"330"	"1.971"	"1.971"	"1.971"	"CAD"	"n/a"	""	"No"
"CARMANAH RESOURCES LTD*"	""	"146641"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CARMANAH TECHNOLOGIES CRP"	"CMH"	"146643"	"Common Stock"	"330"	"0.800"	"0.820"	"0.800"	"CAD"	"n/a"	""	"No"
"CARNIVAL CORP -PAIRED STK"	"CCL"	"146876"	"Common Stock"	"315"	"33.570"	"33.580"	"33.560"	"USD"	"4.77"	""	"No"
"CARNIVAL PLC -ADS"	"CUK"	"146877"	"Common Stock"	"315"	"36.240"	"36.270"	"36.230"	"USD"	"4.42"	""	"No"
"CARPATHIAN GOLD INC"	"CPN"	"146914"	"Common Stock"	"330"	"0.340"	"0.360"	"0.355"	"CAD"	"n/a"	""	"No"
"CARPATHIAN PLC GBP 0.01"	"DDCPF"	"214276"	"Common Stock"	"330"	"0.423"	"0.423"	"0.423"	"CAD"	"14.18"	""	"No"
"CASCADES INC"	"CAS"	"148508"	"Common Stock"	"315"	"8.250"	"8.310"	"8.260"	"CAD"	"1.94"	""	"No"
"CASCADES INC PR A CUMSR1*"	""	"148509"	"Preferred Shares"	"310"	"25.000"	"25.000"	"25.000"	"CAD"	"7.50"	""	"No"
"CASCADIA TECHNOLOGIES LTD"	""	"148514"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"CASTLE & COOKE INC"	""	"149801"	"Common Stock"	"330"	"19.250"	"19.250"	"0.000"	"USD"	"n/a"	""	"No"
"CATALYST PAPER CORP"	"CTL"	"150734"	"Common Stock"	"330"	"0.280"	"0.295"	"0.295"	"CAD"	"n/a"	""	"No"
"CATERPILLAR INC"	"CAT"	"150888"	"Common Stock"	"315"	"55.110"	"55.120"	"55.140"	"USD"	"3.05"	""	"No"
"CATHEDRAL EN SVC INCM T/*"	"CET.UN"	"150932"	"Trust Units"	"3308001"	"4.540"	"4.620"	"4.600"	"CAD"	"10.43"	""	"No"
"CATHEDRAL EN SVCS-SPL-S1*"	""	"150925"	"Common Stock"	"330"	"0.050"	"0.050"	"0.050"	"CAD"	"n/a"	""	"No"
"CB BMY CB-00 9.83% 3AV15"	""	"B87539"	"Provincial Bonds"	"2601311"	"50.709"	"50.709"	"0.000"	"CAD"	"n/a"	"13.530329"	"No"
"CBS CORP-CL B"	"CBS"	"102032"	"Common Stock"	"315"	"13.330"	"13.340"	"13.320"	"USD"	"1.50"	""	"No"
"CCL INDS INC-CL-B NV"	"CCL.B"	"101327"	"Common Stock"	"330"	"26.150"	"26.220"	"26.190"	"CAD"	"2.29"	""	"No"
"CCS INCOME T/U *"	"CCR.UN"	"595610"	"Trust Units"	"3308001"	"45.990"	"46.000"	"45.990"	"CAD"	"0.00"	""	"No"
"CDA HOUS 144A F/R 15MR10"	""	"A25053"	"Gvt of Canada Bonds"	"2601155"	"100.009"	"100.009"	"100.009"	"CAD"	"0.41"	"0.340689"	"No"
"CDA HOUS S-17 4.8% 15JN12"	""	"A25070"	"Gvt of Canada Bonds"	"2601155"	"107.329"	"107.329"	"107.329"	"CAD"	"4.47"	"1.655589"	"No"
"CDA HOUS TR 4% 15JN12"	""	"A25047"	"Gvt of Canada Bonds"	"2601155"	"105.468"	"105.468"	"105.468"	"CAD"	"3.79"	"1.654015"	"No"
"CDA HOUS TR 2.2% 15MR14"	""	"A25087"	"Gvt of Canada Bonds"	"2601155"	"99.088"	"99.088"	"99.088"	"CAD"	"2.22"	"2.432818"	"No"
"CDA HOUS TR 3.55% 15SP13"	""	"A25077"	"Gvt of Canada Bonds"	"2601155"	"104.480"	"104.480"	"104.480"	"CAD"	"3.40"	"2.258859"	"No"
"CDA HOUS TR 3.95% 15JN13"	""	"A25074"	"Gvt of Canada Bonds"	"2601155"	"105.847"	"105.847"	"105.847"	"CAD"	"3.73"	"2.150422"	"No"
"CDA HOUS TR 4.05% 15MR11"	""	"A25063"	"Gvt of Canada Bonds"	"2601155"	"103.739"	"103.739"	"103.739"	"CAD"	"3.90"	"0.736276"	"No"
"CDA HOUS TR 3.75% 15MR10"	""	"A25054"	"Gvt of Canada Bonds"	"2601155"	"100.470"	"100.470"	"100.470"	"CAD"	"3.73"	"0.272744"	"No"
"CDA HSG S-12 F/R 15SP10"	""	"A25059"	"Gvt of Canada Bonds"	"2601155"	"100.029"	"100.029"	"100.029"	"CAD"	"0.40"	"0.351322"	"No"
"CDA HSG S11 3.55% 15SP10"	""	"A25060"	"Gvt of Canada Bonds"	"2601155"	"102.016"	"102.016"	"102.016"	"CAD"	"3.48"	"0.369819"	"No"
"CDA MED DIS FD-I/D/N"	"WVN084"	"973179"	"Canadian Equity Funds"	"3807040"	"4.808"	"4.808"	"4.808"	"CAD"	"n/a"	""	"No"
"CDA MTG & HSG 4.8% 1OC10"	""	"A25012"	"Gvt of Canada Bonds"	"2601155"	"103.128"	"103.128"	"103.128"	"USD"	"4.65"	"0.202985"	"No"
"CDA-REAL RET 4% 1DC31"	""	"A03692"	"Real Return Bonds"	"2601160"	"182.906"	"182.906"	"182.906"	"CAD"	"2.19"	"0.144074"	"No"
"CDA-REAL RET 4.25% 1DC26"	""	"A21469"	"Real Return Bonds"	"2601160"	"183.521"	"183.521"	"183.521"	"CAD"	"2.32"	"0.000000"	"No"
"CDA-REAL RETRN 4.25%1DC21"	""	"A21461"	"Real Return Bonds"	"2601160"	"182.153"	"182.153"	"182.153"	"CAD"	"2.33"	"0.000000"	"No"
"CDN AIRLINES CORP"	""	"116300"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CDN APT PPTYS REIT T/U"	"CAR.UN"	"116333"	"Real Estate Investment Trusts"	"3308001"	"14.350"	"14.440"	"14.420"	"CAD"	"7.49"	""	"No"
"CDN GENERAL INVS LTD"	"CGI"	"127191"	"Closed-end Funds: Stocks"	"3308005"	"15.600"	"15.790"	"15.600"	"CAD"	"1.54"	""	"No"
"CDN GOLD HUNTER CORP *"	"CGH"	"127552"	"Common Stock"	"330"	"0.640"	"0.660"	"0.660"	"CAD"	"n/a"	""	"No"
"CDN HELICOPTERS INCM T/U"	"CHL.UN"	"128193"	"Trust Units"	"3308001"	"10.830"	"10.950"	"10.830"	"CAD"	"10.18"	""	"No"
"CDN HTL REIT CV 6% 30NV1*"	"HOT.DB.A"	"R74404"	"Convertible Debentures"	"2756000"	"161.000"	"161.000"	"161.000"	"CAD"	"3.73"	"0.000000"	"No"
"CDN IMPERIAL BK COMMERCE"	"CM"	"118224"	"Common Stock"	"315"	"63.980"	"64.120"	"64.080"	"CAD"	"5.43"	""	"No"
"CDN INCM MGMT 7% 31AG12"	"CAI.DB"	"R72622"	"Corporate Bonds"	"2606000"	"87.000"	"89.000"	"87.000"	"CAD"	"8.05"	"12.421412"	"No"
"CDN NATL RES 4.95% 1JN15"	""	"R75568"	"Corporate Bonds"	"2606000"	"106.450"	"106.450"	"106.450"	"CAD"	"4.65"	"3.612115"	"No"
"CDN NATURAL RESOURCES LTD"	"CNQ"	"132230"	"Common Stock"	"315"	"70.310"	"70.380"	"70.320"	"CAD"	"0.60"	""	"No"
"CDN NTL RAIL U$4.4%15MR13"	""	"R75327"	"Corporate Bonds"	"2606000"	"105.722"	"105.722"	"105.722"	"USD"	"4.16"	"2.490595"	"No"
"CDN REAL ESTATE INV T/U"	"REF.UN"	"136911"	"Real Estate Investment Trusts"	"3308001"	"28.200"	"28.270"	"28.200"	"CAD"	"4.89"	""	"No"
"CDN SATELLITE RADIO-A SV"	"XSR"	"137092"	"Common Stock"	"330"	"1.360"	"1.400"	"1.360"	"CAD"	"n/a"	""	"No"
"CDN TIRE CORP LTD-A NV"	"CTC.A"	"138586"	"Common Stock"	"315"	"55.420"	"55.630"	"55.450"	"CAD"	"1.51"	""	"No"
"CDN TIRE GIC 3.4%31MR14A"	""	"R77351"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.40"	"3.400000"	"No"
"CDN TIRE GIC 2.12%12MR10A"	""	"R77219"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"2.12"	"2.120000"	"No"
"CDN TIRE GIC 3.4% 2JL13A"	""	"R77732"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.40"	"3.400000"	"No"
"CDN TIRE GIC 3.55%17JL14A"	""	"R77791"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.55"	"3.550000"	"No"
"CDN TIRE GIC 3.6% 12FB13A"	""	"R77030"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.60"	"3.600000"	"No"
"CDN TIRE GIC 3.65%12JA12A"	""	"R76795"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.65"	"3.650000"	"No"
"CDN TIRE GIC 3.7%23JA12CA"	""	"R76899"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"3.70"	"3.700000"	"No"
"CDN TIRE GIC 4.1%22JA14CA"	""	"R76903"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.10"	"4.100000"	"No"
"CDN TIRE GIC 4.2% 13JA14A"	""	"R76811"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.20"	"4.200000"	"No"
"CDN TIRE GIC 4.3% 15JA14A"	""	"R76831"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"CDN TIRE GIC 4.3% 16JA14A"	""	"R76843"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"CDN TIRE GIC 4.3% 20JA14A"	""	"R76859"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"CDN TIRE GIC 4.3% 21JA14A"	""	"R76853"	"Certificates of Deposit"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"CDN TIRE GIC 4.3%14JA14CA"	""	"R76821"	"Term Deposits (Compound Interest)"	"2202210"	"100.000"	"100.000"	"0.000"	"CAD"	"4.30"	"4.300000"	"No"
"CDN UTILITIES CL-A NV"	"CU"	"138908"	"Common Stock"	"315"	"43.820"	"44.000"	"43.990"	"CAD"	"3.43"	""	"No"
"CDN UTILITIES CL-B"	"CU.X"	"138909"	"Common Stock"	"330"	"43.780"	"44.150"	"43.900"	"CAD"	"3.44"	""	"No"
"CDN UTILS 8% RD 2ND PR-P*"	""	"138919"	"Preferred Shares"	"310"	"25.000"	"25.000"	"0.000"	"CAD"	"8.00"	""	"No"
"CDN WESTERN BANK"	"CWB"	"140520"	"Common Stock"	"315"	"20.680"	"20.780"	"20.740"	"CAD"	"2.12"	""	"No"
"CDN WESTERN BK7.25%-S3 PF"	"CWB.PR.A"	"140342"	"Preferred Shares"	"310"	"26.820"	"26.890"	"26.820"	"CAD"	"6.76"	""	"No"
"CDN. EQUITIES"	""	"761164"	"Canadian Equity Funds"	"3807150"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CDP FINL 4.6% 15JL20"	""	"R74343"	"Bonds (other)"	"2606000"	"101.894"	"101.894"	"101.894"	"CAD"	"4.51"	"4.372495"	"No"
"CEAPRO INC"	"CZO"	"151100"	"Common Stock"	"330"	"0.100"	"0.105"	"0.100"	"CAD"	"n/a"	""	"No"
"CEG GRANBY BEO5.45%12SP12"	""	"F00959"	"Municipal & Para-governmental Bonds"	"2601421"	"107.620"	"107.620"	"107.620"	"CAD"	"5.06"	"2.436736"	"No"
"CEG TRO RV BEO4.35%5NV10"	""	"H47294"	"Municipal & Para-governmental Bonds"	"2601421"	"102.320"	"102.320"	"102.320"	"CAD"	"4.25"	"1.333477"	"No"
"CELESIO AG UNSPON ADR"	"CAKFY"	"151577"	"Common Stock"	"3308000"	"0.000"	"0.000"	"6.100"	"USD"	"n/a"	""	"No"
"CELESTICA INC SV"	"CLS"	"151304"	"Common Stock"	"315"	"9.840"	"9.910"	"9.860"	"CAD"	"n/a"	""	"No"
"CELGENE CORP"	"CELG"	"151271"	"Common Stock"	"315"	"58.300"	"58.310"	"58.310"	"USD"	"n/a"	""	"No"
"CELLPOINT INC"	"CLPTQ"	"151363"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"CELTIC MINERALS LTD"	"CME"	"151320"	"Common Stock"	"330"	"0.055"	"0.065"	"0.055"	"CAD"	"n/a"	""	"No"
"CEMEX S.A.B DE C.V ADR"	"CX"	"151360"	"Common Stock"	"3158000"	"10.380"	"10.400"	"10.380"	"USD"	"0.80"	""	"No"
"CENCOTECH INC"	"CTZ"	"151342"	"Common Stock"	"330"	"0.045"	"0.075"	"0.045"	"CAD"	"n/a"	""	"No"
"CENOSIS INC"	"CNSSF"	"151347"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CENOVUS ENERGY INC"	"CVE"	"151447"	"Common Stock"	"315"	"25.130"	"25.140"	"25.130"	"CAD"	"3.37"	""	"No"
"CENTEX CORP *"	"CTX"	"151464"	"Common Stock"	"315"	"12.010"	"12.020"	"11.950"	"USD"	"1.34"	""	"No"
"CENTRAL EUROPE&RUSSIA FND"	"CEE"	"152109"	"Common Stock"	"3308015"	"35.010"	"35.020"	"35.030"	"USD"	"1.86"	""	"No"
"CENTRAL FUND CDA LTD-A NV"	"CEF.A"	"152140"	"Common Stock"	"3308015"	"14.310"	"14.340"	"14.330"	"CAD"	"0.07"	""	"No"
"CENTRAL GTY TR 2ND PRF-1*"	""	"152216"	"Preferred Shares"	"310"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CENTREFUND REALTY CORP*"	"CFE"	"151485"	"Common Stock"	"330"	"11.160"	"11.600"	"11.160"	"CAD"	"0.00"	""	"No"
"CENTRICA PLC SP/ADR"	"CPYYY"	"151526"	"Common Stock"	"3308000"	"0.000"	"0.000"	"18.090"	"USD"	"n/a"	""	"No"
"CENTURY BUSINESS '33LGN*"	""	"153494"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"CEPEDA MINERALS INC"	"CPDMF"	"153840"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CEQUENCE ENERGY LTD-NEW"	"CQE"	"153891"	"Common Stock"	"330"	"3.270"	"3.290"	"3.270"	"CAD"	"n/a"	""	"No"
"CERAMIC PROTECTION CORP *"	"CEP"	"153859"	"Common Stock"	"330"	"2.130"	"2.170"	"2.140"	"CAD"	"n/a"	""	"No"
"CERTICOM CORP *"	"CIC"	"154041"	"Common Stock"	"330"	"2.990"	"3.000"	"2.990"	"CAD"	"n/a"	""	"No"
"CEZ A.S., PRAHA"	""	"154139"	"Common Stock"	"330"	"81.159"	"81.159"	"81.159"	"CAD"	"49.29"	""	"No"
"CG LION GRO BEO 6.2%6SP11"	""	"G28153"	"Municipal & Para-governmental Bonds"	"2601421"	"106.775"	"106.775"	"106.775"	"CAD"	"5.81"	"1.906681"	"No"
"CG RG AMIAN BEO 5.4%6MR13"	""	"H05450"	"Municipal & Para-governmental Bonds"	"2601421"	"107.965"	"107.965"	"107.965"	"CAD"	"5.00"	"2.711449"	"No"
"CG ST JEAN BEO4.25% 5FB10"	""	"H34950"	"Municipal & Para-governmental Bonds"	"2601421"	"100.056"	"100.056"	"100.056"	"CAD"	"4.25"	"2.328715"	"No"
"CGI GROUP INC-A SV"	"GIB.A"	"306362"	"Common Stock"	"315"	"14.860"	"14.970"	"14.970"	"CAD"	"n/a"	""	"No"
"CGX ENERGY INC"	"OYL"	"154113"	"Common Stock"	"330"	"1.380"	"1.400"	"1.380"	"CAD"	"n/a"	""	"No"
"CHA UNI QC BEO4.65%23SP10"	""	"J65161"	"Municipal & Para-governmental Bonds"	"2601421"	"102.277"	"102.277"	"102.277"	"CAD"	"4.55"	"1.161159"	"No"
"CHAI-NA-TA CORP"	"CC"	"154201"	"Common Stock"	"330"	"0.021"	"0.025"	"0.021"	"USD"	"n/a"	""	"No"
"CHAMBLY BEO 3.1% 1DC14"	""	"Q07896"	"Municipal & Para-governmental Bonds"	"2601411"	"98.814"	"98.814"	"98.814"	"CAD"	"3.14"	"3.366532"	"No"
"CHAMBLY BEO 4.45% 27NV14"	""	"Q07539"	"Municipal & Para-governmental Bonds"	"2601411"	"104.799"	"104.799"	"104.799"	"CAD"	"4.25"	"3.365683"	"No"
"CHAMBLY BEO 4.6% 29DC14"	""	"Q07741"	"Municipal & Para-governmental Bonds"	"2601411"	"105.417"	"105.417"	"105.417"	"CAD"	"4.36"	"3.395913"	"No"
"CHAMBORD MN 4% 20DC11"	""	"Q07749"	"Municipal & Para-governmental Bonds"	"2601411"	"102.428"	"102.428"	"102.428"	"CAD"	"3.91"	"2.680345"	"No"
"CHANDLER MN 4.8% 13NV12"	""	"Q67879"	"Municipal & Para-governmental Bonds"	"2601411"	"104.492"	"104.492"	"104.492"	"CAD"	"4.59"	"3.109791"	"No"
"CHANNEL RESOURCES LTD"	"CHU"	"155085"	"Common Stock"	"330"	"0.075"	"0.080"	"0.075"	"CAD"	"n/a"	""	"No"
"CHARAN INDS INC CDA *"	""	"392412"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"CHARTERHOUSE PFD SH INDX"	"PFD.PR.A"	"155243"	"Preferred Shares"	"3108005"	"16.410"	"16.980"	"16.410"	"CAD"	"4.98"	""	"No"
"CHARTWELL CV 6% 1DC11"	"CSH.DB"	"R84147"	"Convertible Debentures"	"2756000"	"102.000"	"102.250"	"102.250"	"CAD"	"5.87"	"4.710828"	"No"
"CHARTWELL CV 5.9% 1MY12"	"CSH.DB.A"	"R87562"	"Convertible Debentures"	"2756000"	"102.500"	"102.990"	"102.500"	"CAD"	"5.76"	"4.719309"	"No"
"CHARTWELL CV 5.9% 1MY12*"	"CSH.DB.A"	"R87431"	"Bonds (other)"	"2756000"	"104.410"	"104.410"	"104.410"	"CAD"	"5.65"	"3.845230"	"No"
"CHARTWELL SN HOUSING REIT"	"CSH.UN"	"155442"	"Real Estate Investment Trusts"	"3158001"	"7.470"	"7.500"	"7.500"	"CAD"	"7.20"	""	"No"
"CHATEAU-RIC MN 4.5%10OC11"	""	"Q06815"	"Municipal & Para-governmental Bonds"	"2601411"	"103.056"	"103.056"	"103.056"	"CAD"	"4.37"	"2.653840"	"No"
"CHATEAUGUAYBEO4.65%23OC17"	""	"Q07982"	"Municipal & Para-governmental Bonds"	"2601411"	"102.853"	"102.853"	"102.853"	"CAD"	"4.52"	"4.213355"	"No"
"CHATEAUGUY BEO 4.8%30DC11"	""	"Q08015"	"Municipal & Para-governmental Bonds"	"2601411"	"105.228"	"105.228"	"105.228"	"CAD"	"4.56"	"2.021539"	"No"
"CHATEAUGUY BEO4.95%30DC12"	""	"Q08016"	"Municipal & Para-governmental Bonds"	"2601411"	"106.525"	"106.525"	"106.525"	"CAD"	"4.65"	"2.620118"	"No"
"CHATEAUGUY BEO5.05%30DC13"	""	"Q08017"	"Municipal & Para-governmental Bonds"	"2601411"	"107.354"	"107.354"	"107.354"	"CAD"	"4.70"	"3.048878"	"No"
"CHATEAUGY BEO 4% 28NV12"	""	"Q08050"	"Municipal & Para-governmental Bonds"	"2601411"	"103.909"	"103.909"	"103.909"	"CAD"	"3.85"	"2.562968"	"No"
"CHATEAUGY BEO 3.8% 12NV11"	""	"Q08057"	"Municipal & Para-governmental Bonds"	"2601411"	"103.218"	"103.218"	"103.218"	"CAD"	"3.68"	"1.965932"	"No"
"CHATEAUGY BEO 3.95%28NV11"	""	"Q08049"	"Municipal & Para-governmental Bonds"	"2601411"	"103.533"	"103.533"	"103.533"	"CAD"	"3.82"	"1.983719"	"No"
"CHATEAUGY BEO 4.55%12NV13"	""	"Q08059"	"Municipal & Para-governmental Bonds"	"2601411"	"105.543"	"105.543"	"105.543"	"CAD"	"4.31"	"2.993060"	"No"
"CHATEAUGY BEO 5.45%26NV12"	""	"Q08001"	"Municipal & Para-governmental Bonds"	"2601411"	"107.838"	"107.838"	"107.838"	"CAD"	"5.05"	"2.563761"	"No"
"CHECK POINT SOFTWARE TECH"	"CHKP"	"156654"	"Common Stock"	"315"	"32.980"	"32.990"	"32.990"	"USD"	"n/a"	""	"No"
"CHECKPOINT SYSTEMS INC."	"CKP"	"156653"	"Common Stock"	"315"	"16.560"	"16.570"	"16.580"	"USD"	"n/a"	""	"No"
"CHEMTRADE LOGISTICS T/U"	"CHE.UN"	"156916"	"Trust Units"	"3308001"	"12.160"	"12.240"	"12.210"	"CAD"	"9.83"	""	"No"
"CHEMTURA CORP"	"CEM"	"156913"	"Common Stock"	"330"	"0.000"	"0.000"	"1.370"	"USD"	"14.60"	""	"No"
"CHERTSEY BEO 3% 5JA15"	""	"Q08179"	"Municipal & Para-governmental Bonds"	"2601411"	"98.195"	"98.195"	"98.195"	"CAD"	"3.06"	"3.399384"	"No"
"CHESAPEAKE ENERGY CORP"	"CHK"	"157067"	"Common Stock"	"315"	"26.930"	"26.940"	"26.960"	"USD"	"1.11"	""	"No"
"CHEVRON CORP"	"CVX"	"157700"	"Common Stock"	"315"	"74.530"	"74.540"	"74.550"	"USD"	"3.65"	""	"No"
"CHILDRENS PL RETAIL STORE"	"PLCE"	"159268"	"Common Stock"	"315"	"32.410"	"32.420"	"32.420"	"USD"	"n/a"	""	"No"
"CHINA DIAMOND CORP"	"CDC.H"	"159498"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	""	"No"
"CHINA FUND INC"	"CHN"	"159433"	"Closed-end Funds: Stocks"	"3308015"	"27.910"	"27.970"	"27.970"	"USD"	"1.72"	""	"No"
"CHINA GRENTECH CORP ADR"	"GRRF"	"159775"	"Common Stock"	"3158000"	"3.500"	"3.510"	"3.480"	"USD"	"n/a"	""	"No"
"CHINA LIFE INSUR SPN ADR"	"LFC"	"159446"	"Common Stock"	"3158000"	"67.480"	"67.490"	"67.470"	"USD"	"n/a"	""	"No"
"CHINA LIFE INSURANCE CO-H"	"CILJF"	"159443"	"Common Stock"	"330"	"4.802"	"4.802"	"4.802"	"CAD"	"n/a"	""	"No"
"CHINA MOBILE LTD ADR"	"CHL"	"159532"	"Common Stock"	"3158000"	"47.820"	"47.830"	"47.870"	"USD"	"n/a"	""	"No"
"CHINA NETCOM GROUP ADR *"	"CN"	"159408"	"Common Stock"	"3308000"	"38.200"	"38.410"	"38.230"	"USD"	"3.96"	""	"No"
"CHINA PETE & CHEM SP/ADR"	"SNP"	"159565"	"Common Stock"	"3158000"	"80.030"	"80.150"	"80.180"	"USD"	"n/a"	""	"No"
"CHINA RAILWAY CONS-ADR"	"CWYCY"	"160056"	"Common Stock"	"3308000"	"0.000"	"0.000"	"14.150"	"USD"	"n/a"	""	"No"
"CHINA UNICOM(HKG)LTD ADR"	"CHU"	"159529"	"Common Stock"	"3158000"	"11.750"	"11.780"	"11.750"	"USD"	"2.49"	""	"No"
"CHIPOTLE MEXICAN GRILL"	"CMG"	"160033"	"Common Stock"	"315"	"95.880"	"95.900"	"95.850"	"USD"	"n/a"	""	"No"
"CHIPOTLE MEXICAN GRILL-B*"	"CMG.B"	"160034"	"Common Stock"	"330"	"89.650"	"89.710"	"89.710"	"USD"	"n/a"	""	"No"
"CHIQUITA BRANDS INTL"	"CQB"	"160027"	"Common Stock"	"315"	"15.120"	"15.130"	"15.140"	"USD"	"2.64"	""	"No"
"CHUBB CORP"	"CB"	"160770"	"Common Stock"	"315"	"48.910"	"48.930"	"48.900"	"USD"	"2.86"	""	"No"
"CHUNGHWA TELECOM CO-ADR *"	"CHT"	"160802"	"Common Stock"	"3308000"	"18.310"	"18.330"	"18.320"	"USD"	"n/a"	""	"No"
"CHURCH & DWIGHT CO INC"	"CHD"	"160930"	"Common Stock"	"315"	"61.120"	"61.150"	"61.160"	"USD"	"0.92"	""	"No"
