Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
BAFFINLAND IRON 11APR10		51883	Common Stock	330	0.58	0.59	0.59	CAD								n/a	CA	No	04/11/2010		0	n/a	0	Equity		0	n/a		No
BAFFINLAND IRON MINES CRP	BIM	51862	Common Stock	330	0.58	0.59	0.59	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BAIDU INC ADS	BIDU	52176	Common Stock	3158000	415.15	415.35	415.16	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity		0	n/a		No
BAIE COM BEO 3.05%12NV10		Q02592	Municipal & Para-governmental Bonds	2601411	101.339	101.339	101.339	CAD								n/a	CA	No	11/12/2010		3.05	n/a	2	Bond		0	3.01	1.350644	No
BAIE COM BEO 4.25% 2NV15		Q02548	Municipal & Para-governmental Bonds	2601411	103.134	103.134	103.134	CAD								n/a	CA	No	11/02/2015		4.25	n/a	2	Bond		0	4.12	3.641753	No
BAIE COM BEO 4.55%12NV13		Q02595	Municipal & Para-governmental Bonds	2601411	105.543	105.543	105.543	CAD								n/a	CA	No	11/12/2013		4.55	n/a	2	Bond		0	4.31	2.99306	No
BAIE COM-BEO 5.3% 13MY13		Q02514	Municipal & Para-governmental Bonds	2601411	107.86	107.86	107.86	CAD								n/a	CA	No	05/13/2013		5.3	n/a	2	Bond		0	4.91	2.787779	No
BAIE FEBVRE MN1.95%10NV11		Q06158	Municipal & Para-governmental Bonds	2601411	98.774	98.774	98.774	CAD								n/a	CA	No	11/10/2011		1.95	n/a	2	Bond		0	1.97	2.654933	No
BAIE ST PL BEO 3.25 6OC14		Q69808	Municipal & Para-governmental Bonds	2601411	99.717	99.717	99.717	CAD								n/a	CA	No	10/06/2014		3.25	n/a	2	Bond		0	3.26	3.314849	No
BAJA MINING CORP	BAJ	52737	Common Stock	330	0.75	0.76	0.75	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BAKBONE SOFTWARE INC	BKB	52759	Common Stock	330	0.36	0.45	0.35	USD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BAKER HUGHES INC	BHI	52751	Common Stock	315	44.54	44.57	44.59	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/28/2010	0.15	1.35		No
BALANCE ( CAD )	1CAD		Cash		1	1	1	CAD								n/a	CA	No			0	n/a	0	Cash		0	n/a		No
BALANCE ( EUR )	1EUR		Cash		1	1	1	EUR								n/a	EU	No			0	n/a	0	Cash		0	n/a		No
BALANCE ( USD )	1USD		Cash		1	1	1	USD								n/a	US	No			0	n/a	0	Cash		0	n/a		No
BALLARD POWER SYSTEMS	BLD	53941	Common Stock	315	2.39	2.45	2.41	CAD								n/a	CA	No		TSE	0	n/a	0	Equity	06/03/2004	0	n/a		No
BALLARD POWER SYSTEMS IN*	BLD	53929	Common Stock	330	1.52	1.64	1.64	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BALLY TECHNOLOGIES INC	BYI	53936	Common Stock	315	44.21	44.25	44.26	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
BALOIL RESOURCES LTD *		53995	Common Stock	330	0.09	0.09	0.09	CAD								n/a	CA	No		C	0	n/a	0	Equity		0	n/a		No
BAM SPLIT CP CL-AA S-3 PF	BNA.PR.C	54052	Split Preferred Shares	3108005	19.09	19.43	19.25	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/18/2009	0.272	5.65		No
BAM SPLIT CP CL-AA S-4 PF	BNA.PR.D	54053	Preferred Shares	3108005	26.41	26.78	26.41	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/18/2009	0.453	6.86		No
BANCO BILBAO VIZCAYA ARGN	BBVA	54757	Common Stock	315	16.85	16.87	16.83	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	12/22/2009	0.129	n/a		No
BANCO BRADESCO SA ADR	BBD	54773	Common Stock	3158000	17.37	17.38	17.42	USD								n/a	ZZ	No		NYS	0	n/a	12	Equity	02/02/2010	0.008	0.56		No
BANCO DE SANTANDER ADR	STD	54828	Common Stock	315	20.062	20.062	20.062	USD								n/a	US	No		NY	0	n/a	4	Equity		0.119	0		No
BANCO ITAU HLDG FIN S/AD*	ITU	54841	Common Stock	3308000	10.99	11.04	10.99	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	03/10/2009	0.094	n/a		No
BANCO SANTANDER S.A. ADR	STD	54802	Common Stock	3158000	15.16	15.17	15.16	USD								n/a	ZZ	No		NYS	0	n/a	4	Equity	01/27/2010	0.178	4.7		No
BANK NEW YORK MELLON CORP	BK	56292	Common Stock	315	29.76	29.77	29.76	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/28/2010	0.09	1.21		No
BANK OF AMERICA	BAC	55603	Common Stock	315	14.98	15	14.98	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/02/2009	0.01	0.27		No
BANK OF MONTREAL	BMO	55665	Common Stock	315	52.63	52.7	52.65	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.7	5.32		No
BANK OF MTL 4.55% 1AG17		R32330	Corporate Bonds	2602230	106.689	106.689	106.689	CAD								n/a	CA	No	08/01/2017		4.55	n/a	2	Bond		0	4.26	3.529247	No
BANK OF MTL PRF-B S-10 U$	BMO.PR.V	55805	Fixed Rate Perpetual Preferred Shares	310	26.25	26.41	26.27	USD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.372	5.66		No
BANK OF NEW YORK CO INC *	BK	56291	Common Stock	315	41.39	41.45	41.44	USD								n/a	US	No		NYS	0	n/a	4	Equity	04/23/2007	0.22	2.12		No
BANK OF NOVA SCOTIA	BNS	55897	Common Stock	315	45.03	45.1	45.08	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/31/2009	0.49	4.35		No
BANK ONE CAP TR VI 7.2%PF	ONE.PR.W	55620	Preferred Shares	310	24.98	25.07	24.98	USD								n/a	US	No	01/01/2075	NYS	0	n/a	4	Equity	01/12/2010	0.45	7.21		No
BANKAMERICA CORP *		55590	Common Stock	330	71.5	71.5	0	USD								n/a	US	No			0	n/a	4	Equity		0.345	1.93		No
BARC E19 SU C$3.75%28OC11		Y16405	Bonds (other)	2605011	99	0	0	CAD								n/a	GB	No	10/28/2011		3.75	n/a	2	Bond		0	3.79	4.357746	No
BARCLAYS ADV CORP BND T/*	BAC.UN	58924	Trust Units	3308001	8.55	8.59	8.55	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	10/27/2006	0.04	0		No
BARCLAYS ADV S&P/TSX SR-*	BAI.UN	58922	Trust Units	3308001	15.2	15.3	15.25	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	10/27/2006	0.097	0		No
BARCLAYS INC+GRW SPLIT T*	BDS.UN	58925	Trust Units	3308001	12.52	12.8	0	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	10/27/2006	0.082	0		No
BARCLAYS PLC-ADR	BCS	58912	Common Stock	3158000	18.02	18.04	18.02	USD								n/a	GB	No		NYS	0	n/a	2	Equity	11/18/2009	0.065	0.73		No
BARE ESCENTUALS INC	BARE	58290	Common Stock	315	18.1	18.11	18.11	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
BAREXOR MINERALS INC		442500	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BARR PHARMACEUTICALS(DEL*	BRL	59962	Common Stock	330	65.8	65.84	65.8	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
BARRICK GOLD CORP	ABX	59960	Common Stock	315	38.07	38.09	38.07	CAD								n/a	CA	No		TSE	0	n/a	2	Equity	11/26/2009	0.2	1.11		No
BARRY R.G. CORP OHIO	DFZ	60104	Common Stock	330	4.96	4.98	4.96	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
BASF SE SPON ADR	BF	61663	Common Stock	3308000	0	0	56.6	USD								n/a	DE	No		NYS	0	n/a	0	Equity	04/28/2009	2.596	n/a		No
BASKET DVSFD BOND		940119	Canadian Bonds & Income Funds	3807700	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BASKET ETF WORLD EQ		940108	International Equity Funds	3807300	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BASKET MULTI ASST CL		942000	Balanced Funds	3807550	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BASKET PASSPORT EQ		940107	International Equity Funds	3807300	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BASTIEN INC		62212	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BATTERY TECHNOLOGIES INC	BTIOQ	63237	Common Stock	330	0	0	0.002	USD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
BAUSCH & LOMB INC *	BOL	63305	Common Stock	330	64.98	64.99	64.98	USD								n/a	US	No		NYS	0	n/a	4	Equity	08/31/2007	0.13	0.8		No
BAXTER INTL INC	BAX	63335	Common Stock	315	58.98	58.99	58.96	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/08/2009	0.29	1.97		No
BAYER AG SPON ADR	BAY	63292	Common Stock	3158000	0	0	71.25	USD								n/a	DE	No		NYS	0	n/a	0	Equity	05/08/2009	1.893	n/a		No
BAYFIELD VENTURES CORP	BYV	63484	Common Stock	330	0.26	0.295	0.29	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BAYSWATER URANIUM CORP *	BAY	63545	Common Stock	330	0.095	0.1	0.095	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BAYSWATER URANIUM CRP-NEW	BYU	63547	Common Stock	330	0.81	0.82	0.81	CAD								n/a	CA	No		TNX	0	n/a	0	Equity		0	n/a		No
BAYTEX CV CB 6.5% 31DC10	BTE.DB	R40489	Convertible Debentures	2756000	211.58	217.65	211.58	CAD								n/a	CA	No	12/31/2010	TSE	6.5	n/a	2	Bond		0	3.07	59.764786	No
BAYTEX ENERGY TRUST T/U	BTE.UN	63525	Trust Units	3158001	31.27	31.4	31.39	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.18	6.88		No
BB&T CORPORATION	BBT	51692	Common Stock	315	27.57	27.58	27.57	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/06/2010	0.15	2.18		No
BBD ACC NTE 8.35%18MAR08*		A27131	Discount Bonds (other)	2601155	71.863	71.863	0	CAD								n/a	CA	No	03/18/2008		0	n/a	0	Bond		0	n/a	0	No
BCC HIRSCH PERFORM/N	BCC500	984980	Hedge Funds	3807610	20.927	20.927	20.927	CAD								n/a	CA	No			0	n/a	2	Mutual Fund	12/31/2009	0.266	2.54		No
BCC MAN IP 220 4/D/N	BCC009	933437	Linked Notes Funds	3807245	10.173	10.173	10.173	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BCC MAN MUL ST-A/D/N	BCC900	923644	Linked Notes Funds	3807245	9.396	9.396	9.396	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BCE DEV CORP CV8% 30JN98*		R33591	Discount Bonds (other)	2756000	0	0	0	CAD								n/a	CA	No	06/30/1998		0	n/a	0	Bond		0	n/a	n/a	No
BCE INC	BCE	70623	Common Stock	315	27.61	27.65	27.61	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/11/2009	0.405	5.87		No
BCE INC *	BCE	70615	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	06/13/2006	0.33	n/a		No
BCE INC 4.502% 1ST PFD-T	BCE.PR.T	51994	Fixed-Floating Preferred Shares	310	19.06	19.15	19.14	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/29/2009	0.281	5.88		No
BCE INC 4.60% 1ST PFD-AC	BCE.PR.C	52385	Fixed-Floating Preferred Shares	310	20.5	20.55	20.5	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.288	5.61		No
BCE INC CUM RED 1ST PFD-Z	BCE.PR.Z	52383	Fixed-Floating Preferred Shares	310	19.05	19.18	19.05	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.271	5.68		No
BCE INC FL/RT PFD SER-Y	BCE.PR.Y	70622	Floating Rate Preferred Shares	310	20.3	20.4	20.4	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.047	2.76		No
BCE INC RED 1ST PFD-R	BCE.PR.R	70628	Fixed-Floating Preferred Shares	310	19.2	19.3	19.3	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.284	5.88		No
BCE INC-CUM RED 1ST PF-AG	BCE.PR.G	52203	Fixed-Floating Preferred Shares	310	19.05	19.1	19.1	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/29/2009	0.272	5.69		No
BCE INC-CUM RED 1ST PFD-S	BCE.PR.S	51767	Floating Rate Preferred Shares	310	19.69	20	19.69	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.047	2.86		No
BCE INC-CUM RED 1ST PR-AA	BCE.PR.A	51775	Fixed-Floating Preferred Shares	310	20.29	20.4	20.4	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/28/2010	0.3	5.88		No
BCX SPLIT CORP PFD	BCX.PR.A	51743	Preferred Shares	3108005	15.54	15.73	15.54	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	07/30/2008	0.177	4.55		No
BD-EQALPHA		760947	Canadian Bonds & Income Funds	3807700	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BDC ARMS P/N SR-4A 2010		101784	Linked Notes	330	9.56	9.66	9.56	CAD								n/a	CA	No	11/19/2010		0	n/a	0	Equity		0	n/a		No
BDC CH D IAPN-1 VR 16DC11		A27547	Linked Notes	2601155	125.13	125.13	125.13	CAD								n/a	CA	No	12/16/2011		0	n/a	0	Equity		0	n/a		No
BDC ECLIPSE PROT/N-2010		52287	Linked Notes	330	98.36	99.36	98.36	USD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BDC MG FUT NT-N8/D/N	TCC008	954341	Linked Notes Funds	3807245	105.871	105.871	105.871	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BDC MGD FUT-N7A /D/N	TCC107	974631	Linked Notes Funds	3807245	107.217	107.217	107.217	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BDC MONTRU S-1 28MY10		A27334	Linked Notes	2601155	100.304	100.304	100.304	CAD								n/a	CA	No	05/28/2010		0	n/a	0	Equity		0	n/a		No
BDC REV SER-800 /S/N	TCC800	957455	Linked Notes	3807950	10	10	0	CAD								n/a	CA	No	02/26/2010		0	n/a	0	Equity	10/29/2003	0	n/a		No
BDC TOP15 PHARM1/D/N	OPS341	967174	Linked Notes Funds	3807245	83.83	83.83	83.83	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BEAMSCOPE CDA INC		64010	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BEAR STEARNS COS INC *	BSC	64285	Common Stock	315	9.32	9.36	9.33	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/11/2008	0.32	13.72		No
BEARTOOTH PLATINUM CORP *	BTP	64374	Common Stock	330	0.005	0.01	0.01	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BEAUCEVILLE MN 4% 3MR12		Q04514	Municipal & Para-governmental Bonds	2601411	102.543	102.543	102.543	CAD								n/a	CA	No	03/03/2012		4	n/a	2	Bond		0	3.9	2.745697	No
BEAUFIELD RESOURCES INC	BFD	65456	Common Stock	330	0.15	0.16	0.15	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BEAUHARNOIS BEO 4% 24AP12		Q04640	Municipal & Para-governmental Bonds	2601411	103.929	103.929	103.929	CAD								n/a	CA	No	04/24/2012		4	n/a	2	Bond		0	3.85	2.195185	No
BEAUPRE BEO 4.2% 27DC12		Q04811	Municipal & Para-governmental Bonds	2601411	104.432	104.432	104.432	CAD								n/a	CA	No	12/27/2012		4.2	n/a	2	Bond		0	4.02	2.613178	No
BEAUPRE MN 3.75% 25SP11		Q04583	Municipal & Para-governmental Bonds	2601411	101.785	101.785	101.785	CAD								n/a	CA	No	09/25/2011		3.75	n/a	2	Bond		0	3.68	2.644103	No
BEBE STORES INC	BEBE	66977	Common Stock	315	6.01	6.03	6.01	USD								n/a	US	No		NAS	0	n/a	4	Equity	11/25/2009	0.025	1.66		No
BECANCOUR BEO 2.5% 3NV12		Q04654	Municipal & Para-governmental Bonds	2601411	99.953	99.953	99.953	CAD								n/a	CA	No	11/03/2012		2.5	n/a	2	Bond		0	2.5	2.516939	No
BECANCOUR BEO 3.6%10MY10		Q04791	Municipal & Para-governmental Bonds	2601411	100.765	100.765	100.765	CAD								n/a	CA	No	05/10/2010		3.6	n/a	2	Bond		0	3.57	0.948152	No
BECTON DICKINSON &CO	BDX	67306	Common Stock	315	75.73	75.77	75.78	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/10/2009	0.37	1.95		No
BED BATH AND BEYOND INC	BBBY	67350	Common Stock	315	39.05	39.07	39.07	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
BELDEN INC	BDC	68030	Common Stock	315	23.35	23.37	23.37	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/14/2009	0.05	0.86		No
BELL ALIANT 5.41% 26SP16		R35656	Corporate Bonds	2606000	105.413	105.413	105.413	CAD								n/a	CA	No	09/26/2016		5.41	n/a	2	Bond		0	5.13	4.461106	No
BELL ALIANT 6.29% 17FB15		R35681	Bonds (other)	2606000	110.286	110.286	110.286	CAD								n/a	CA	No	02/17/2015		6.29	n/a	2	Bond		0	5.7	4.02321	No
BELL ALIANT REG COMM T/U	BA.UN	68061	Trust Units	3308001	27.6	27.64	27.6	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.242	10.51		No
BELL CANADA CL-A SR-17-P*	BC.PR.B	70629	Fixed-Floating Preferred Shares	310	25.15	25.29	25.16	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/30/2007	0.2	3.18		No
BELL CB 144A 6.55% 1MY29		R35635	Corporate Bonds	2606000	102.962	102.962	102.962	CAD								n/a	CA	No	05/01/2029		6.55	n/a	2	Bond		0	6.36	6.281628	No
BELL CDA 5% 15FB17		R40338	Corporate Bonds	2606000	103.845	103.845	103.845	CAD								n/a	CA	No	02/15/2017		5	n/a	2	Bond		0	4.81	4.360702	No
BELL CDA 6.1% 16MR35		R39312	Corporate Bonds	2606000	97.959	97.959	97.959	CAD								n/a	CA	No	03/16/2035		6.1	n/a	2	Bond		0	6.23	6.261486	No
BELL CDA CB 5.5% 12AG10*		R36351	Corporate Bonds	2606000	104.912	104.912	104.912	CAD								n/a	CA	No	08/12/2010		5.5	n/a	2	Bond		0	5.24	0	No
BELL CDA CB 7% 24SP27		R35621	Corporate Bonds	2606000	106.702	106.702	106.702	CAD								n/a	CA	No	09/24/2027		7	n/a	2	Bond		0	6.56	6.361666	No
BELL CDA CB 4.64% 22FB16		R36873	Corporate Bonds	2606000	103.305	103.305	103.305	CAD								n/a	CA	No	02/22/2016		4.64	n/a	2	Bond		0	4.49	4.020934	No
BELL CDA M13 6.25%12AP12S		R35674	Corporate Bonds	2606000	108.629	108.629	108.629	CAD								n/a	CA	No	04/12/2012		6.25	n/a	2	Bond		0	5.75	2.227637	No
BELL CDA S-M12 6.9%15DC11		R35653	Corporate Bonds	2606000	109.383	109.383	109.383	CAD								n/a	CA	No	12/15/2011		6.9	n/a	2	Bond		0	6.31	1.81866	No
BELL NORDIQ INCM FUND T/*	BNQ.UN	70237	Trust Units	3308001	12.15	12.27	12.15	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/24/2007	4	0		No
BELL-DZ CB04 11% 15OC1*		R35717	Bonds (other)	2606000	0	0	0	CAD								n/a	CA	No	10/15/2011		11	n/a	2	Bond		0	n/a	n/a	No
BELLATRIX CV 7.5% 30JN11	BXE.DB	R35659	Convertible Debentures	2756000	100.75	101.45	100.75	CAD								n/a	CA	No	06/30/2011	TSE	7.5	n/a	2	Bond		0	7.44	6.934752	No
BELLATRIX EXPLORATION LTD	BXE	68069	Common Stock	330	3.62	3.64	3.62	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BELLHAVEN VENTURES INC *	BHV	70645	Common Stock	330	0.53	0.53	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BELLUS HEALTH INC	BLU	68051	Common Stock	330	0.24	0.275	0.24	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BELLWETHER EXPLO CO (DE)*		69936	Common Stock	330	9	9.01	9	USD								n/a	US	No			0	n/a	0	Equity	05/15/2001	0	n/a		No
BELOEIL BEO 2.65% 12MY13		Q50599	Municipal & Para-governmental Bonds	2601411	99.589	99.589	99.589	CAD								n/a	CA	No	05/12/2013		2.65	n/a	2	Bond		0	2.66	2.780672	No
BENNETT ENVIRONMENTAL INC	BEV	71425	Common Stock	330	2.05	2.06	2.06	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BERINGER WINE ESTATES-B	BERW	71660	Common Stock	315	55.75	55.75	0	USD								n/a	US	No		XY	0	n/a	0	Equity		0	n/a		No
BERKSHIRE HATHAWAY INC-B*	BRK.B	71702	Common Stock	330	"3,472.00"	"3,472.03"	"3,476.00"	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
BERKSHIRE HATHAWAY-B-NEW	BRK.B	71727	Common Stock	315	68.72	68.75	68.84	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
BERWICK RETIREMENT COMMUN	BWK	59975	Common Stock	330	1.13	1.13	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BEST BUY INC	BBY	72340	Common Stock	315	37.53	37.54	37.53	USD								n/a	US	No		NYS	0	n/a	4	Equity	12/31/2009	0.14	1.49		No
BESTAR INC	BES	71856	Common Stock	330	0.3	0.47	0.3	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BF REALTY CV10.75%31OC95*		R30106	Discount Bonds (other)	2756000	0	0	0	CAD								n/a	CA	No	10/31/1995		0	n/a	0	Bond		0	n/a	n/a	No
BF REALTY HLDGS LTD		51748	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BF RLTY HLDGS PR-A SER 1		51736	Preferred Shares	310	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BFI CANADA LTD *	BFC	51997	Common Stock	330	11.52	11.65	11.65	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	03/27/2009	0.25	8.58		No
BG ADV CORPORATE BOND T/*	BAC.UN	52480	Trust Units	3308001	7.09	7.3	7.16	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/26/2008	0.05	8.38		No
BG ADV EQUAL WGT INCM T/*	BAE.UN	52479	Trust Units	3308001	10.8	11.01	10.99	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/26/2008	0.073	7.99		No
BG GROUP PLC ADR	BRGYY	52161	Common Stock	3158000	0	0	95.5	USD								n/a	GB	No		NAS	0	n/a	2	Equity	08/05/2009	0.466	0.98		No
BG INCM+GROWTH SPLIT T/U	BDS.UN	52482	Trust Units	3308001	13.12	14.44	13.12	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/26/2008	0.073	6.67		No
BG TOP 100 EQUAL WGT T/U*	BTH.UN	52483	Trust Units	3308001	9.62	9.7	9.7	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	06/26/2008	0.07	8.71		No
BHP BILLITON PLC ADR	BBL	74724	Common Stock	3158000	62.1	62.13	62.16	USD								n/a	GB	No		NYS	0	n/a	2	Equity	09/02/2009	0.82	2.64		No
BHP BILLITON-LTD S/ADR	BHP	52309	Common Stock	3158000	73.96	73.98	73.93	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	09/02/2009	0.82	2.22		No
BHP-GR-DIV		761270	Canadian Bonds & Income Funds	3807700	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BIG 8 SPLIT INC	BIG.A	74227	Miscellaneous	3308005	16.84	17.5	17.5	CAD								n/a	CA	No		TSE	0	n/a	4	Other	11/27/2009	0.27	6.17		No
BIG 8 SPLIT INC CL-A PFD	BIG.PR.A	74226	Split Preferred Shares	3108005	25.05	25.5	25.05	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/27/2008	0.281	4.49		No
BIG BLACKFOOT RES LTD	BLF	73665	Common Stock	330	0.05	0.06	0.05	CAD								n/a	CA	No		V	0	n/a	0	Equity	10/17/2002	0	n/a		No
BIG ROCK BREWERY INCM T/U	BR.UN	74481	Trust Units	3308001	15.53	15.88	15.88	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.1	7.56		No
BIOCAP BIOT & H/C /N	BIO120	984070	Global Equity Funds	3807630	4.01	4.01	4.01	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BIOCAP BIOTCH&HLTC/N	BIO121	975795	Global Equity Funds	3807630	4.01	4.01	4.01	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
BIOCAPITAL INVESTMENT LP*		75188	Common Stock	330	12.51	13	0	CAD								n/a	CA	No			0	n/a	12	Equity	06/09/2000	0.125	0		No
BIOENVELOP TECH	BIE	75235	Common Stock	330	0	0	0	USD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BIOMAX TECHS INC	BIX.H	75011	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BIONICHE LIFE SCIENCES	BNC	75077	Common Stock	330	0.63	0.65	0.65	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BIOPHAGE PHARMA INC	BUG	75143	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BIORTHEX INC -A-		75152	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
BIOSCRYPT INC *	BYT	75122	Common Stock	330	0.36	0.38	0.36	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
BIOTECH HOLDERS TR DP REC	BBH	75207	Exchange-Traded Funds: Stocks	315	98.55	98.66	98.68	USD								n/a	US	No		NYS	0	n/a	0	Equity	10/29/2009	1.38	n/a		No
BIOTECH HOLDINGS LTD	BIO	75093	Common Stock	330	0.006	0.01	0.006	USD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
BIOVAIL CORP	BVF	75216	Common Stock	315	15.55	15.75	15.72	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/30/2009	0.09	2.42		No
BIOVAIL CORP INTL *		75125	Common Stock	330	49.375	49.375	0	USD								n/a	CA	No			0	n/a	0	Equity	03/14/2000	0	n/a		No
BIP E/M EQ /N	BIP171	923554	International Equity Funds	3807310	19.817	19.817	19.817	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/17/2008	0.524	2.64		No
