Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation	Description
AAC.A	14466	Actions ordinaires	330	"52,860"	"52,950"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ALLIANCE ATLANTIS CM A V*
ADS	14482	Actions ordinaires	315	"60,280"	"60,330"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	ALLIANCE DATA SYSTEMS CRP
AGI	14672	Actions ordinaires	315	"14,920"	"14,940"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	ALLIANCE GAMING CORP-NEW*
ASI.UN	14739	Fiducies de redevances	3308001	"14,160"	"15,740"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,083"	2008-07-29	TSE	"6,99"		Non	ALLIANCE SPLIT INC CP T/*
ASI.PR.A	14737	Actions privilégiées	3108005	"10,000"	"10,200"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,150"	2008-06-26	TSE	"6,00"		Non	ALLIANCE SPLIT INCM FD P*
AB	13267	Actions ordinaires	3158002	"27,700"	"27,730"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,670"	2009-11-05	NYS	"9,66"		Non	ALLIANCEBERNSTEIN HLD LPU
AZ	14825	Actions ordinaires	3158000	"0,000"	"0,000"	USD								DE	Non	n/d	n/d	"0,000"	Action	1		"0,462"	2009-04-27	NYS	"4,04"		Non	ALLIANZ SE-ADR
ALI	14843	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ALLICAN RESOURCES INC
ALD	14957	Actions ordinaires	315	"4,200"	"4,210"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,650"	2008-12-10	NYS	"61,76"		Non	ALLIED CAPITAL CORP
729457	15249	Actions ordinaires	330	"9,160"	"9,160"	CAD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,084"	2002-01-02		n/d		Non	ALLIED DOMECQ PLC-BP 25
AIB	15217	Actions ordinaires	3158000	"3,880"	"3,900"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,851"	2008-08-06	NYS	"43,74"		Non	ALLIED IRISH BKS SPON-ADR
AP.UN	14963	Société de placement immobilier	3308001	"20,020"	"20,130"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,110"	2010-01-27	TSE	"6,56"		Non	ALLIED PTYS R/EST INV PAR
	760943	Fonds de placement équilibré	3807570	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALLOCATION TACTIQUE
ALL	13880	Actions ordinaires	315	"30,350"	"30,360"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,200"	2009-11-25	NYS	"2,64"		Non	ALLSTATE CORP
AT	16450	Actions ordinaires	330	"71,460"	"71,470"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,125"	2007-09-05	NYS	"0,70"		Non	ALLTEL CORP *
AMM	16529	Actions ordinaires	330	"1,030"	"1,050"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ALMADEN MINERALS LTD
ALQ	16580	Actions ordinaires	330	"0,085"	"0,090"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ALPHA GOLD CORP
	16634	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ALPHANET TELECOM INC
NBC887	991530	Fonds d'actions canadiennes	3807154	"35,590"	"35,590"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALT ACT CRS CDN/SF/N
NBC169	991560	Fonds d'actions américaines	3807255	"27,220"	"27,220"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALT AME SEL /SF/N
NBC100	991531	Fonds de valeurs du marché monétaire canadien	3807850	"1,000"	"1,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"	2010-01-01		n/d		Non	ALT COM SURET /SF/N
NBC101	998907	Fonds valeurs du marché monétaire	3807000	"1,000"	"1,000"	USD								US	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2008-04-30		"0,40"		Non	ALT COM SURT U$/SF/N
NBC200	991604	Fonds de valeurs du marché monétaire canadien	3807850	"1,000"	"1,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,001"	2008-04-30		"0,90"		Non	ALT COMP SURN-F/SF/N
NBC191	991524	Fonds de placement équilibré	3807520	"14,050"	"14,050"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,119"	2009-06-12		"0,85"		Non	ALT MDL DVF /SF/N
NBC813	975773	Fonds de valeurs à revenu fixe	3807680	"7,850"	"7,850"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,035"	2010-01-25		"5,42"		Non	ALT OBL REV ELV/SF/N
NBC889	991576	Fonds d'actions internationales	3807510	"8,290"	"8,290"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,075"	2008-12-29		"0,91"		Non	ALT PET SOC MDL/SF/N
	R13022	Obligations (autres)	2606000	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"7,100"	Obligation	2	2011-10-11	"0,000"			n/d	n/d	Non	ALTA ENGY CB 7.1%11OC11S*
AEC.PR.A	9559	Actions privilégiées	3108003	"26,500"	"26,600"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4	2075-01-01	"0,531"	2003-01-03	T	"0,00"		Non	ALTA ENGY PFD 8.5% COPRS*
	R13020	Obligations (autres)	2606000	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"8,500"	Obligation	2	2040-12-20	"0,000"			n/d	n/d	Non	ALTA ENGY-CB 8.5%20DC40*
	R13014	Obligations (autres)	2606000	"121,016"	"121,016"	CAD								CA	Non	n/d	n/d	"7,300"	Obligation	2	2014-09-02	"0,000"			"6,03"	"2,440,859"	Non	ALTA ENGY-MTN 7.3% 2SP14
	B85539	Obligations provinciales	2601305	"109,482"	"109,482"	CAD								CA	Non	n/d	n/d	"5,850"	Obligation	2	2012-06-01	"0,000"			"5,34"	"1,713,051"	Non	ALTA MUN FIN 5.85% 1JN12
ALA.UN	16917	Fiducies de redevances	3308001	"18,550"	"18,580"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,180"	2010-01-21	TSE	"11,64"		Non	ALTAGAS INCOME T/U
AUI	18611	Actions ordinaires	330	"10,430"	"10,650"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,050"	2009-09-28	TSE	"1,92"		Non	ALTAGAS UTILITY GROUP IN*
AIS503C	991529	Fonds d'actions canadiennes	3807150	"24,310"	"24,310"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALTAM EQTY FND
AIS500	991523	Fonds d'investissement	3807600	"18,890"	"18,890"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,198"	2007-12-17		"1,05"		Non	ALTAM GLB DIVFD
AIS508C	991568	Fonds d'actions - ressources canadiennes	3807200	"8,260"	"8,260"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALTAM RES FND /NL
AIS916C	991561	Fonds d'actions américaines	3807250	"42,470"	"42,470"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	ALTAM SEL AMER /NL
	17059	Actions ordinaires	330	"1,840"	"1,840"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		C	n/d		Non	ALTAREX CORP *
	17028	Actions ordinaires	330	"0,000"	"1,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2000-11-22		n/d		Non	ALTAREX CORP *
APK	17078	Actions ordinaires	330	"0,010"	"0,015"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ALTEK POWER CORP
MO	17248	Actions ordinaires	315	"19,920"	"19,930"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,340"	2009-12-28	NYS	"6,83"		Non	ALTRIA GROUP INC
AIF.UN	21783	Fiducies de redevances	3308001	"13,750"	"13,930"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,100"	2010-01-27	TSE	"8,60"		Non	ALTUS GROUP INCM FD T/U
AA	17749	Actions ordinaires	315	"74,562"	"74,562"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,250"		NY	"0,00"		Non	ALUMINUM CO OF AMERICA
ACH	17752	Actions ordinaires	3158000	"27,530"	"27,560"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,190"	2008-09-23	NYS	n/d		Non	ALUMINUM CRP OF CHINA-ADR
AI.UN	20907	Fiducies de redevances	3308002	"3,380"	"3,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,060"	2010-01-27	TSE	"21,30"		Non	AMALGAMATED INCM LPU
	18600	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMANDA RESOURCES LTD *
AMZN	18888	Actions ordinaires	315	"120,270"	"120,360"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMAZON COM INC
AMB	19052	Actions ordinaires	330	"0,035"	"0,040"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	AMBRILIA BIOPHARMA
AMB	19045	Actions ordinaires	330	"0,405"	"0,410"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	AMBRILIA BIOPHARMA INC *
	442	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMC INVESTORS INC
AMCRY	19008	Actions ordinaires	3308000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,590"	2009-08-25	NAS	"5,54"		Non	AMCOR LTD ADR
	19050	Actions ordinaires	330	"12,375"	"12,375"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,013"			"0,40"		Non	AMDAHL CORP COM *
DOX	19064	Actions ordinaires	315	"29,470"	"29,480"	USD								GB	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	AMDOCS LTD
	R16948	Obligations corporatives	2606000	"103,471"	"103,471"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	2	2011-05-20	"0,000"			"4,54"	"2,015,336"	Non	AMER EXPRESS 4.7% 20MI11
AIG	22350	Actions ordinaires	330	"1,130"	"1,160"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,220"	2008-09-03	NYS	"75,86"		Non	AMER INTL GROUP INC *
APS	25350	Actions ordinaires	315	"23,000"	"23,000"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,100"		NY	"0,00"		Non	AMER PRESIDENT CO LTD
	26038	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMER TRANSPORTATN TV NTWK
AEE	19209	Actions ordinaires	315	"25,890"	"25,900"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,385"	2009-12-07	NYS	"5,94"		Non	AMEREN CORP
AMX	19267	Actions ordinaires	3158000	"42,900"	"42,910"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,771"	2009-12-07	NYS	"3,59"		Non	AMERICA MOVIL S.A.B ADR
	19352	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMERICAN AGRI-TECH CORP
	21188	Actions ordinaires	330	"0,125"	"0,125"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		T	n/d		Non	AMERICAN EAGLE PETE LTD
AEP	21204	Actions ordinaires	315	"35,620"	"35,640"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,410"	2009-11-06	NYS	"4,60"		Non	AMERICAN ELECTRIC POWER
AEXP	21467	Actions ordinaires	330	"0,520"	"0,550"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMERICAN EXPLORATION CORP
AXP	21469	Actions ordinaires	315	"37,790"	"37,800"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,180"	2010-01-07	NYS	"1,91"		Non	AMERICAN EXPRESS CO
AM	21972	Actions ordinaires	315	"19,330"	"19,350"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,120"	2009-12-21	NYS	"2,48"		Non	AMERICAN GREETINGS CL-A-
AHM	22127	Actions ordinaires	3308008	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"1,120"	2007-04-04	NYS	"10 418,60"		Non	AMERICAN HOME MTG INV
AHMH	22126	Actions ordinaires	330	"23,150"	"23,160"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,030"	2003-12-02	XY	"0,00"		Non	AMERICAN HOME MTG INVT *
AHOM	21913	Actions ordinaires	330	"0,160"	"0,230"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMERICAN HOMEPATIENT
USA.UN	22337	Fiducies de redevances	3308001	"9,050"	"9,600"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,071"	2006-05-29	TSE	"0,00"		Non	AMERICAN INCOME TRUST P/*
ANR.U	23321	Actions ordinaires	330	"0,030"	"0,040"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	AMERICAN NATURAL ENERGY
	24701	Actions ordinaires	330	"0,295"	"0,295"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMERICAN RESERVE MNG CP*
	25999	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,000"			n/d		Non	AMERICAN TEL & TEL *
AMT	26304	Actions ordinaires	315	"43,170"	"43,180"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	AMERICAN TOWER CORP -A-
AMTD	26594	Actions ordinaires	315	"26,070"	"26,100"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"6,000"	2006-01-13	NAS	n/d		Non	AMERITRADE HOLDING CORP *
AMLS	30035	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMERSIN LIFE SCIENCES CR*
AME	26549	Actions ordinaires	315	"37,130"	"37,140"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,060"	2009-12-02	NYS	"0,65"		Non	AMETEK INC
AMGN	26630	Actions ordinaires	315	"55,710"	"55,720"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMGEN INC
AMU	26802	Actions ordinaires	330	"0,140"	"0,165"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	AMI RESOURCES INC
	26651	Actions privilégiées	310	"3,010"	"3,050"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,048"	2004-09-28		"6,38"		Non	AMISK REG INMV INC PF S1*
AHS	26828	Actions ordinaires	315	"9,180"	"9,190"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	AMN HEALTHCARE SVCS INC
	Q01602	Obligations municipales & para-gouvernementales	2601411	"103,722"	"103,722"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	2	2011-12-28	"0,000"			"3,86"	"2,016,359"	Non	AMOS ICS 4% 28DC11
AMPL	26900	Actions ordinaires	330	"2,760"	"2,770"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	AMPAL-AMER ISRAEL CORP
APH	26905	Actions ordinaires	315	"40,800"	"40,820"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,015"	2009-12-14	NYS	"0,15"		Non	AMPHENOL CORP CL-A
	Q01560	Obligations municipales & para-gouvernementales	2601411	"101,431"	"101,431"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	2	2010-11-22	"0,000"			"3,94"	"2,232,835"	Non	AMQUI BM 4% 22NV10
AMR	450	Actions ordinaires	315	"7,880"	"7,890"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	AMR CORP DEL
	26933	Actions ordinaires	330	"0,290"	"0,000"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	AMT ENVIRONMENTAL PRODS *
AMT.UN	26956	Fiducies de redevances	3308001	"14,210"	"14,380"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,100"	2007-05-29	TSE	"0,00"		Non	AMTELECOM INCOME FUND T/*
AVZ	26969	Actions ordinaires	3158000	"24,260"	"24,280"	USD								GB	Non	n/d	n/d	"0,000"	Action	2		"0,208"	2007-04-25	NYS	"1,71"		Non	AMVESCAP PLC SPND/ADR *
ANCOQ	27602	Actions ordinaires	330	"0,030"	"0,045"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		XY	n/d		Non	ANACOMP INC - NEW
ANCPB	27603	Actions ordinaires	330	"0,300"	"1,100"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANACOMP INC IND CL-B
ANAD	27635	Actions ordinaires	315	"3,960"	"4,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANADIGICS INC
ADI	28019	Actions ordinaires	315	"28,020"	"28,040"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,200"	2009-12-02	NYS	"2,86"		Non	ANALOG DEVICES INC
ANLSF	28078	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANALYTICAL SOFTWARE INC
ANEN	28280	Actions ordinaires	315	"16,210"	"16,230"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANAREN INC
	28674	Actions ordinaires	330	"40,000"	"40,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	2		"0,160"	2001-09-12		"0,80"		Non	ANDERSON EXPLORATION LTD*
	29235	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ANDREANE MINING RES INC
AD	29285	Actions ordinaires	330	"0,095"	"0,110"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ANDROMED INC *
ANP	29375	Actions ordinaires	315	"1,300"	"1,380"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ANGIOTECH PHARMACEUTICALS
AAUKY	29471	Actions ordinaires	3158000	"0,000"	"0,000"	USD								GB	Non	n/d	n/d	"0,000"	Action	0		"0,220"	2008-08-20	NAS	n/d		Non	ANGLO AMER PLC ADR
AGIBY	31151	Actions ordinaires	3308000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,124"	2008-05-14	NAS	n/d		Non	ANGLO IRISH BANK CORP ADR
ASW	31870	Actions ordinaires	330	"0,350"	"0,355"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ANGLO SWISS RES INC
AU	31865	Actions ordinaires	3158000	"38,210"	"38,220"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,077"	2009-08-19	NYS	n/d		Non	ANGLOGOLD ASHANTI LTD ADR
ANC	31903	Actions ordinaires	330	"0,000"	"0,000"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ANGOSS SOFTWARE CORP *
BUD	31915	Actions ordinaires	330	"68,550"	"68,640"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,370"	2008-11-06	NYS	"2,16"		Non	ANHEUSER-BUSCH CO.INC. *
AHBIF	31958	Actions ordinaires	330	"50,872"	"50,872"	CAD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANHEUSER-BUSCH INBEV
AHBIY	31960	Actions ordinaires	3158000	"48,380"	"48,450"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANHEUSER-BUSCH INBEV ADR
ANIK	31916	Actions ordinaires	330	"6,510"	"6,560"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANIKA THERAPEUTICS INC
	31922	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ANIMACIS TECHNOLOGIES INC
ANN	32200	Actions ordinaires	315	"12,200"	"12,210"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	ANNTAYLOR STORES INC
ARQ	32337	Actions ordinaires	330	"1,280"	"1,300"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ANOORAQ RESOURCES CORP
AEN	33518	Actions ordinaires	330	"1,300"	"1,320"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ANTRIM ENERGY INC
ANTS	32644	Actions ordinaires	330	"0,860"	"0,950"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ANTS SOFTWARE INC
AVM	33433	Actions ordinaires	315	"3,240"	"3,260"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ANVIL MINING LTD
	33435	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	2		"0,000"			n/d		Non	ANVIL RANGE MN SLV RY UN*
AOMOY	647	Actions ordinaires	3308000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,041"	2007-05-15	NAS	n/d		Non	AO MOSENERGO SPONS ADR
AOL	33437	Actions ordinaires	315	"23,970"	"23,990"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	AOL INC
AON	33417	Actions ordinaires	315	"38,940"	"38,960"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,150"	2010-01-28	NYS	"1,54"		Non	AON CORP
APA	33928	Actions ordinaires	315	"103,900"	"103,930"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,150"	2010-01-20	NYS	"0,58"		Non	APACHE CORPORATION
AIV	33440	Actions ordinaires	3158008	"15,510"	"15,520"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,100"	2009-12-29	NYS	"2,57"		Non	APARTMENT INV & MGMT A
APG	34099	Actions ordinaires	330	"0,455"	"0,465"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	APOLLO GOLD CORP
APOL	34092	Actions ordinaires	315	"60,830"	"60,900"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	APOLLO GROUP INC -A-
AAPL	33740	Actions ordinaires	315	"202,860"	"203,030"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	APPLE INC
	33795	Actions ordinaires	330	"0,040"	"0,070"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2000-10-03		n/d		Non	APPLIED CARBON TECH INC *
	33852	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	APPLIED MAGNETICS CORP *
AMAT	34033	Actions ordinaires	315	"12,630"	"12,640"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,060"	2009-11-09	NAS	"1,90"		Non	APPLIED MATERIALS INC
AMCC	33971	Actions ordinaires	315	"7,970"	"7,980"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	APPLIED MICRO CIRCUIT-NEW
APNT	34020	Actions ordinaires	330	"0,200"	"0,205"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	APPLIED NANOTECH HOLDINGS
ATR	34135	Actions ordinaires	315	"36,070"	"36,080"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,150"	2009-10-26	NYS	"1,66"		Non	APTARGROUP INC
AQE	34173	Actions ordinaires	330	"0,240"	"0,270"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	AQUA-PURE VENTURE LTD
	Q37252	Obligations municipales & para-gouvernementales	2601411	"102,449"	"102,449"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	2	2011-02-22	"0,000"			"3,90"	"1,692,729"	Non	AR KATIVIK ICS 4% 22FV11
	Q68339	Obligations municipales & para-gouvernementales	2601411	"104,268"	"104,268"	CAD								CA	Non	n/d	n/d	"4,150"	Obligation	2	2013-05-09	"0,000"			"3,98"	"2,781,288"	Non	AR KATIVIK ICS 4.15%9MI13
	Q69392	Obligations municipales & para-gouvernementales	2601411	"105,365"	"105,365"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	2	2013-11-12	"0,000"			"4,27"	"2,993,034"	Non	AR KATIVIK ICS 4.5%12NV13
	Q37011	Obligations municipales & para-gouvernementales	2601411	"103,703"	"103,703"	CAD								CA	Non	n/d	n/d	"4,050"	Obligation	2	2013-12-19	"0,000"			"3,91"	"3,034,955"	Non	AR KATIVIK ICS4.05%19DC13
	Q37186	Obligations municipales & para-gouvernementales	2601411	"104,294"	"104,294"	CAD								CA	Non	n/d	n/d	"4,350"	Obligation	2	2011-12-08	"0,000"			"4,17"	"1,995,736"	Non	AR KATIVIK ICS4.35% 8DC11
ARA	34307	Actions ordinaires	3308000	"21,250"	"21,260"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,534"	2008-06-26	NYS	n/d		Non	ARACRUZ CELULOSE ADR *
ABO.A	34499	Actions ordinaires	330	"23,100"	"23,950"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,110"	2009-12-29	TSE	"1,90"		Non	ARBOR MEMORIAL CL-A VTG
ABO.B	34502	Actions ordinaires	330	"23,500"	"24,340"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,110"	2009-12-29	TSE	"1,87"		Non	ARBOR MEMORIAL CL-B NV
AET.UN	527	Fiducies de redevances	3158001	"20,220"	"20,250"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,100"	2010-01-27	TSE	"5,93"		Non	ARC ENERGY P/F
	34625	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2004-08-25		n/d		Non	ARCA EXPLORATIONS INC *
ACDI	34642	Actions ordinaires	330	"0,540"	"0,550"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ARCADIA RESOURCES INC
MT	34654	Actions ordinaires	315	"68,600"	"69,090"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	4		"0,325"	2007-08-31	NYS	"1,90"		Non	ARCELOR MITTAL-A NY REG *
