Description	Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Clôture	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation
DRUMMONDVL ICS4.55%24NV12		Q14495	Obligations municipales & para-gouvernementales	2601411	"105,398"	"105,398"	"105,398"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	2	2012-11-24	"0,000"			"4,32"	"2,558,463"	Non
DUKE ENERGY HOLDINGS CORP	DUK	234789	Actions ordinaires	315	"16,650"	"16,660"	"16,660"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,240"	2009-11-10	NYS	"5,76"		Non
DUN JPM BSTD V-3/S/N	DUN252	928664	Fonds Billets Indexés	3807610	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DUN PREM 1Y GIC/SF/N	DYN700	944019	Fonds de valeurs à revenu fixe	3807950	"10,000"	"10,000"	"10,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,027"	2007-10-31		n/d		Non
DUNDEE CORP 6.75% S2 PFD	DC.PR.B	236010	Actions privilégiées	310	"27,200"	"27,410"	"27,230"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,495"	2009-12-15	TSE	"7,27"		Non
DUNDEE CORP CL-A-SV	DC.A	235974	Actions ordinaires	330	"13,580"	"13,690"	"13,690"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
DUNDEE CV CB 5.7% 31MR15	D.DB.A	T09204	Débentures convertibles	2756000	"101,500"	"105,500"	"101,500"	CAD								CA	Non	n/d	n/d	"5,700"	Obligation	2	2015-03-31	"0,000"		TSE	"5,62"	"5,362,486"	Non
DUNDEE CV RED 5.7% 31MR15		T09203	Obligations (autres)	2756000	"100,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"5,700"	Obligation	2	2015-03-31	"0,000"			"5,70"	"5,697,923"	Non
DUNDEE PRECIOUS METALS	DPM	235992	Actions ordinaires	330	"3,410"	"3,430"	"3,430"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
DUNDEE REIT SER-A T/U	D.UN	236014	Fiducies de redevances	3308001	"25,430"	"25,560"	"25,420"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,183"	2010-01-27	TSE	"8,64"		Non
DUNDEEWEALTH INC	DW	235991	Actions ordinaires	330	"14,470"	"14,630"	"14,530"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,035"	2009-12-17	TSE	"0,96"		Non
DUPONT E I DE NEMOURS	DD	237131	Actions ordinaires	315	"32,820"	"32,840"	"32,820"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,410"	2009-11-10	NYS	"5,00"		Non
DWS GLOBAL COMMODITIES	GCS	212985	Fonds à capitalisation fermée: Actions	3308015	"7,950"	"8,050"	"8,070"	USD								US	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,019"	2009-02-12	NYS	"0,24"		Non
DX MONT ICS 1.5% 23JL11		Q12463	Obligations municipales & para-gouvernementales	2601411	"99,507"	"99,507"	"99,507"	CAD								CA	Non	n/d	n/d	"1,500"	Obligation	2	2011-07-23	"0,000"			"1,51"	"1,835,914"	Non
DXSTORM.COM INC	DXX	212883	Actions ordinaires	330	"0,120"	"0,190"	"0,120"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
DYN CAT OBL ADV /N	DYN1800	948271	Fonds d'obligations canadiennes et fonds à revenu	3807700	"11,080"	"11,080"	"11,080"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,000"	2008-12-31		"0,00"		Non
DYN CAT VAL CDN /N	DYN005	997532	Fonds d'actions canadiennes	3807154	"12,300"	"12,300"	"12,300"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,109"	2009-12-31		"0,89"		Non
DYN CAT VAL CDN /S/N	DYN705	998049	Fonds d'actions canadiennes	3807154	"12,300"	"12,300"	"12,300"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,109"	2009-12-31		"0,89"		Non
DYN CDN DIV /N	DYN9121	989328	Fonds de dividendes	3807725	"16,000"	"16,000"	"16,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN CDN H/YL BD II/N	DYN017	924945	Fonds de valeurs à revenu fixe	3807680	"5,110"	"5,110"	"5,110"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN CHINE ELRG /S/N	DYN9442	987420	Fonds d'actions - Asie et côte pacifique	3807420	"14,200"	"14,200"	"14,200"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN CRS PWR CDN /S/N	DYN053	994639	Fonds d'actions canadiennes	3807154	"20,020"	"20,020"	"20,020"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"3,522"	2007-12-18		n/d		Non
DYN CT MDL VAL PGD/N	DYN9552	941001	Fonds d'actions globales	3807500	"3,040"	"3,040"	"3,040"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"1,048"	2008-01-11		n/d		Non
DYN CT VAL CD-F/SF/N	DYN233	976229	Fonds d'actions canadiennes	3807154	"13,930"	"13,930"	"13,930"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,113"	2009-12-31		"0,81"		Non
DYN DCAF DIV INCM /N	DYN876	969512	Fonds d'actions canadiennes	3807155	"9,440"	"9,440"	"9,440"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,03"		Non
DYN DCAF M/PR/FR/S/N	DYN146	970377	Fonds de matières premières	3807670	"9,440"	"9,440"	"9,440"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,03"		Non
DYN DECOUV MDL /N	DYN9154	987168	Fonds d'actions globales	3807500	"15,250"	"15,250"	"15,250"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,847"	2007-12-21		"5,55"		Non
DYN DECOUV MDL /FR/N	DYN3154	940704	Fonds d'actions globales	3807500	"15,250"	"15,250"	"15,250"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,847"	2007-12-21		"5,55"		Non
DYN DIV /S/N	DYN748	994625	Fonds de dividendes	3807725	"8,000"	"8,000"	"8,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,018"	2009-12-29		"2,70"		Non
DYN DIV CDN /N	DYN1040	930262	Fonds d'actions canadiennes	3807154	"13,220"	"13,220"	"13,220"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,050"	2009-12-18		"4,54"		Non
DYN DIV CDN /S/N	DYN1250	930263	Fonds d'actions canadiennes	3807154	"13,220"	"13,220"	"13,220"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,050"	2009-12-18		"4,54"		Non
DYN DIV MDL-A /N	DYN031	940149	Fonds d'actions globales	3807500	"9,760"	"9,760"	"9,760"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,005"	2009-12-23		"0,05"		Non
DYN EQL FOC+ /S/N	DYN312	970755	Fonds de placement équilibré	3807720	"11,410"	"11,410"	"11,410"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,007"	2009-12-18		"0,24"		Non
DYN EQL FOC+ /FR/S/N	DYN212	970760	Fonds de placement équilibré	3807720	"11,410"	"11,410"	"11,410"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,007"	2009-12-18		"0,24"		Non
DYN EQL PWR /FR/S/N	DYN601	970304	Fonds de placement équilibré	3807720	"8,080"	"8,080"	"8,080"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,081"	2009-12-18		"1,00"		Non
DYN EQL VAL-A/FR/S/N	DYN443	942471	Fonds de placement équilibré	3807550	"10,780"	"10,780"	"10,780"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,055"	2009-12-31		"0,51"		Non
DYN EQUIL VAL /N	DYN9194	982608	Fonds de placement équilibré	3807550	"18,190"	"18,190"	"18,190"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,035"	2009-12-18		"2,31"		Non
DYN EQUIL VAL /S/N	DYN9494	986094	Fonds de placement équilibré	3807550	"18,190"	"18,190"	"18,190"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,035"	2009-12-18		"2,31"		Non
DYN FAPD VAL EQL/S/N	DYN939	940675	Fonds de placement équilibré	3807720	"9,440"	"9,440"	"9,440"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,03"		Non
DYN FD VAL DU CDA /N	DYN040	994669	Fonds d'actions canadiennes	3807154	"34,680"	"34,680"	"34,680"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"1,205"	2007-12-19		"3,47"		Non
DYN FUND OF FNDS	DYN059C	994686	Fonds de placement en répartition de l'actif	3807715	"9,770"	"9,770"	"9,770"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN GES RCH FOC+ /N	DYN201	998176	Fonds d'actions globales	3807620	"13,190"	"13,190"	"13,190"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,009"	2008-12-19		"0,07"		Non
DYN INF MD DCAF/FR/N	DYN2221	967006	Fonds de placement spéciaux	3807950	"9,440"	"9,440"	"9,440"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,03"		Non
DYN INFS MDL /FR/S/N	DYN2211	967003	Fonds de placement spéciaux	3807950	"9,220"	"9,220"	"9,220"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,044"	2009-12-29		"0,48"		Non
DYN ISRAEL GW U$*D/N	DYN789	992962	Fonds de placement spéciaux	3807950	"7,513"	"7,513"	"7,513"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN ISRAEL GWTH FUNDU$*/D	CDYN789	239099	Fonds de placement spéciaux	3807950	"7,100"	"7,350"	"0,000"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,340"			"4,79"		Non
DYN MARCHE MON /N	DYN9193	982607	Fonds de valeurs du marché monétaire canadien	3807850	"10,000"	"10,000"	"10,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,05"		Non
DYN MCH MON /S/N	DYN728	993615	Fonds de valeurs du marché monétaire canadien	3807850	"5,870"	"5,870"	"5,870"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,121"	2008-02-29		"2,06"		Non
DYN MET PREC /S/N	DYN746	994688	Fonds d'actions - ressources canadiennes	3807670	"7,140"	"7,140"	"7,140"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,101"	2007-12-19		"1,42"		Non
DYN MET PREC /FR/S/N	DYN646	970317	Fonds d'actions - ressources canadiennes	3807670	"7,140"	"7,140"	"7,140"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,101"	2007-12-19		"1,42"		Non
DYN OBL ADV FD /N	DYN258	943125	Fonds d'obligations canadiennes et fonds à revenu	3807700	"4,990"	"4,990"	"4,990"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,019"	2009-12-31		"4,57"		Non
DYN OBL H/REND /N	DYN9105	998042	Fonds de valeurs à revenu fixe	3807680	"2,290"	"2,290"	"2,290"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,016"	2009-12-18		"8,38"		Non
DYN OBL H/REND /S/N	DYN9405	983012	Fonds de valeurs à revenu fixe	3807680	"2,290"	"2,290"	"2,290"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,016"	2009-12-18		"8,38"		Non
DYN OBL H/RND /FR2/N	DYN435	943084	Fonds de valeurs à revenu fixe	3807680	"2,290"	"2,290"	"2,290"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,016"	2009-12-18		"8,38"		Non
DYN POWER CDN FD D/N	DYN703	990468	Fonds d'actions canadiennes	3807150	"7,460"	"7,460"	"7,460"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"	2000-11-28		n/d		Non
DYN PREC METAL	DYN046C	994684	Fonds d'actions globales	3807670	"6,370"	"6,370"	"6,370"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN PW CRS CD/FR/S/N	DYN652	970319	Fonds d'actions canadiennes	3807154	"20,020"	"20,020"	"20,020"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"3,522"	2007-12-18		n/d		Non
DYN PWR CR AM/FR/S/N	DYN604	970307	Fonds d'actions américaines	3807250	"5,270"	"5,270"	"5,270"	CAD								US	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN PWR CRS MDL/FR/N	DYN614	996384	Fonds d'actions globales	3807500	"6,050"	"6,050"	"6,050"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,042"	2008-02-29		"0,69"		Non
DYN PWR SM/CP /N	DYN9102	998033	Autres titres	3807153	"13,660"	"13,660"	"13,660"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non
DYN PWR SM/CP /S/N	DYN9402	983003	Autres titres	3807153	"13,660"	"13,660"	"13,660"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non
DYN QSSP 1999/FR/D/N	DYN697	970733	Fonds d'actions canadiennes	3807152	"6,450"	"6,450"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN QSSP 2000/FR/D/N	DYN698	983002	Fonds d'actions canadiennes	3807152	"6,450"	"6,450"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN QSSP 2001/FR/D/N	DYN699	984880	Fonds d'actions canadiennes	3807152	"6,450"	"6,450"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,000"			"0,00"		Non
DYN QSSP 99 CL-B D/N	DYN797	970646	Fonds d'actions canadiennes	3807152	"6,450"	"6,450"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN QSSP S-2002/FR/N	DYN630	971708	Fonds d'actions canadiennes	3807152	"6,450"	"6,450"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN RES FOC+ /FR/S/N	DYN690	970334	Fonds d'actions - ressources canadiennes	3807200	"21,450"	"21,450"	"21,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"1,749"	2007-12-20		"8,15"		Non
DYN RES MDL S/N	DYN780	994701	Fonds d'actions - ressources canadiennes	3807200	"20,840"	"20,840"	"20,840"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN RESC FOC + S/N	DYN790	991912	Fonds d'actions - ressources canadiennes	3807200	"21,450"	"21,450"	"21,450"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"1,749"	2007-12-20		"8,15"		Non
DYN REV ACT /S/N	DYN729	983604	Fonds de fiducies de revenus	3807710	"14,520"	"14,520"	"14,520"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,083"	2009-12-29		"6,82"		Non
DYN REV ACT /FR/N	DYN629	983605	Fonds de fiducies de revenus	3807710	"14,520"	"14,520"	"14,520"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,083"	2009-12-29		"6,82"		Non
DYN REV DIV /N	DYN206	969508	Fonds de placement équilibré	3807720	"12,090"	"12,090"	"12,090"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,042"	2009-12-30		"4,17"		Non
DYN REV DIV /S/N	DYN316	969509	Fonds de placement équilibré	3807720	"12,090"	"12,090"	"12,090"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,042"	2009-12-30		"4,17"		Non
DYN TECH /D/N	DYN9446	987424	Fonds d'actions canadiennes	3807170	"9,570"	"9,570"	"9,570"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN TOUT REV ST PT/N	DYN1062	940859	Fonds de placement équilibré	3807720	"5,210"	"5,210"	"5,210"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,021"	2009-12-31		"4,80"		Non
DYN VAL AME /FR/N	DYN641	970314	Fonds d'actions américaines	3807250	"12,900"	"12,900"	"12,900"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,238"	2007-12-21		"1,84"		Non
DYN VAL DIV /N	DYN054	994651	Fonds d'actions canadiennes	3807154	"9,730"	"9,730"	"9,730"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,058"	2009-09-25		"2,37"		Non
DYN VAL E/ORIENT /N	DYN079	994697	Fonds d'actions - Asie et côte pacifique	3807400	"17,430"	"17,430"	"17,430"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN VAL EQL /FR/S/N	DYN3194	940702	Fonds de placement équilibré	3807550	"18,190"	"18,190"	"18,190"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,035"	2009-12-18		"2,31"		Non
DYN VAL EURO /S/N	DYN055	996450	Fonds d'actions européennes	3807450	"16,600"	"16,600"	"16,600"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN VAL MDL /N	DYN076	994654	Fonds d'actions globales	3807500	"15,990"	"15,990"	"15,990"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN VAL MDL /FR/S/N	DYN676	970324	Fonds d'actions globales	3807500	"15,990"	"15,990"	"15,990"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN VAL MDL U$ /N	DYN413	946243	Fonds d'actions globales	3807500	"5,520"	"5,520"	"5,520"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,000"	2008-12-31		"0,00"		Non
DYN VAL MDL U$ /S/N	DYN791	981170	Fonds d'actions globales	3807500	"15,110"	"15,110"	"15,110"	USD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYN VAL OF CDA /FR/N	DYN640	970313	Fonds d'actions canadiennes	3807154	"34,680"	"34,680"	"34,680"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"1,205"	2007-12-19		"3,47"		Non
DYN WR CNV DB/LL/D/N	DYN3161	940710	Fonds de placement équilibré	3807550	"6,990"	"6,990"	"6,990"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,019"	2009-12-31		"3,26"		Non
DYN WRLD CONVT DEB/N	DYN9161	986076	Fonds de placement équilibré	3807550	"6,990"	"6,990"	"6,990"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,050"	2009-12-31		"8,57"		Non
DYNAMIC EURO VAL /D	DYN055C	994649	Fonds d'actions européennes	3807450	"19,890"	"19,890"	"19,890"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYNAMIC MNY MKT /N	DYN045	994646	Fonds de valeurs du marché monétaire canadien	3807850	"10,000"	"10,000"	"10,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYNAMIC MNY MKT D/N	DYN745	994681	Fonds de valeurs du marché monétaire canadien	3807850	"10,000"	"10,000"	"10,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYNAMIC PREC MTL /D	DYN746C	994635	Fonds d'actions - ressources canadiennes	3807200	"1,320"	"1,320"	"1,320"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYNAMIC PTNRS FND /D	DYN043C	994640	Fonds de placement en répartition de l'actif	3807600	"7,720"	"7,720"	"7,720"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
DYNASTY COMPONENTS INC		239283	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
DYNEGY INC-A	DYN	238707	Actions ordinaires	315	"1,780"	"1,790"	"1,790"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non
DYNETEK INDUSTRIES LTD	DNK	239869	Actions ordinaires	330	"0,365"	"0,385"	"0,365"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
DYNUL DCAF EQCC/FR/N	DYN1831	933996	Fonds de placement équilibré	3807550	"9,440"	"9,440"	"9,440"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,000"	2009-12-31		"0,03"		Non
DYNUL EQL CC /FR/S/N	DYN1821	933993	Fonds de placement équilibré	3807550	"10,190"	"10,190"	"10,190"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,015"	2009-12-31		"0,15"		Non
DYONIX GREENTREE TECH INC		239317	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
E&P EQUITY ADVISOR/N	EPL571	994731	Fonds d'actions canadiennes	3807150	"8,240"	"8,240"	"8,240"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
E&P RSP US MD CP D/N	EPL491	970494	Fonds d'actions américaines	3807255	"9,060"	"9,060"	"9,060"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
E*TRADE FINANCIAL CORP	ET	239414	Actions ordinaires	315	"1,660"	"1,670"	"1,660"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non
E-L FINANCIAL CORP LTD	ELF	247601	Actions ordinaires	330	"436,000"	"444,000"	"436,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,125"	2009-12-30	TSE	"0,11"		Non
E-L FINL CP-1ST PFD-1 PER	ELF.PR.F	248006	Actions privilégiées perpétuelles à taux fixe	310	"20,350"	"20,450"	"20,340"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,331"	2009-12-30	TSE	"6,51"		Non
E-MANUFACTURING NETWORKS		239768	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
E-QUISITIONS INC *	EQU	239875	Actions ordinaires	330	"0,025"	"0,100"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		V	n/d		Non
E-TEK DYNAMICS INC *		239467	Actions ordinaires	330	"263,812"	"263,812"	"263,812"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2000-06-30		n/d		Non
E.ON AG ADR	EON	239817	Actions ordinaires	3308000	"0,000"	"0,000"	"38,150"	USD								DE	Non	n/d	n/d	"0,000"	Action	1		"2,005"	2009-05-04	NYS	"5,25"		Non
EAGLECREST EXPL LTD *	EEL	239392	Actions ordinaires	330	"0,050"	"0,055"	"0,050"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
EAST JAPAN RAIL UNSPN ADR	EJPRY	240154	Actions ordinaires	3308000	"0,000"	"0,000"	"11,520"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,105"	2009-09-25	NAS	n/d		Non
EASTMAN CHEMICAL CO	EMN	241304	Actions ordinaires	315	"58,110"	"58,150"	"58,110"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,440"	2009-12-10	NYS	"3,03"		Non
EASTMAN KODAK CO	EK	241307	Actions ordinaires	315	"4,400"	"4,410"	"4,410"	USD								US	Non	n/d	n/d	"0,000"	Action	2		"0,250"	2008-10-30	NYS	"11,34"		Non
EATON CORPORATION	ETN	245126	Actions ordinaires	315	"64,610"	"64,660"	"64,580"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,500"	2009-11-05	NYS	"3,10"		Non
EBAY INC	EBAY	245237	Actions ordinaires	315	"23,690"	"23,700"	"23,690"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
EBOULEMENTS BM 4% 4FV10		Q29053	Obligations municipales & para-gouvernementales	2601411	"100,029"	"100,029"	"100,029"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	2	2010-02-04	"0,000"			"4,00"	"2,877,542"	Non
EBOULEMENTS BM 4% 4FV11		Q29054	Obligations municipales & para-gouvernementales	2601411	"101,456"	"101,456"	"101,456"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	2	2011-02-04	"0,000"			"3,94"	"2,554,163"	Non
ECONOMIC INVESTMENT TRUST	EVT	245415	Actions ordinaires	3308005	"60,000"	"63,000"	"60,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,150"	2009-12-11	TSE	"1,00"		Non
ECTEL LTD *	ECTX	239566	Actions ordinaires	330	"1,250"	"1,260"	"1,260"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
EDC 5.8% 3DC12		A27323	Obligations du gouvernement du Canada	2601155	"110,532"	"110,532"	"110,532"	CAD								CA	Non	n/d	n/d	"5,800"	Obligation	2	2012-12-03	"0,000"			"5,25"	"1,985,367"	Non
EDC CB S/U U$4.25% 3JN13		A27404	Obligations (autres)	2601155	"99,720"	"99,720"	"99,720"	USD								CA	Non	n/d	n/d	"4,250"	Obligation	2	2013-06-03	"0,000"			"4,26"	"4,339,075"	Non
EDC CB-02 SU 5.65%16NV11S		A27021	Obligations (autres)	2601155	"99,000"	"99,000"	"99,000"	USD								CA	Non	n/d	n/d	"5,650"	Obligation	2	2011-11-16	"0,000"			"5,71"	"6,237,767"	Non
EDC CB-03 S/U 4.5% 4MY13		A27388	Obligations (autres)	2601155	"100,000"	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	2	2013-05-04	"0,000"			"4,50"	"4,497,943"	Non
EDC CB-03 S/U 5% 11AG12*		A27293	Obligations (autres)	2601155	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"5,000"	Obligation	2	2012-08-11	"0,000"			n/d	n/d	Non
EDC U$ CB TP4.25% 30DC13M		A27484	Obligations (autres)	2601155	"100,000"	"100,000"	"100,000"	USD								CA	Non	n/d	n/d	"4,250"	Obligation	12	2013-12-30	"0,000"			"4,25"	"4,249,977"	Non
