"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"Subsequent Amount"	"Region"	"Non-redeemable"	"Maturity"	"Market"	"Interest"	"Initial Amount"	"Frequency"	"Financial Instrument"	"Dividend Date"	"Dividend"	"MY (%)"	"YTM - Market (%)"
"ALBERTO-CULVER CO"	"ACV"	"011120"	"Common Stock"	"315"	"28.840"	"28.860"	"28.840"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/03/2009"	"0.075"	"1.04"	""
"ALBERTSONS INC *"	"ABS"	"011098"	"Common Stock"	"315"	"25.670"	"25.740"	"25.670"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"04/10/2006"	"0.190"	"0.00"	""
"ALCAN ALUM PF-84-SER D *"	""	"011130"	"Preferred Shares"	"310"	"25.000"	"25.000"	"0.000"	"USD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"4"	"Equity"	""	"0.000"	"0.00"	""
"ALCAN INC *"	"AL"	"011122"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"08/16/2007"	"0.200"	"n/a"	""
"ALCAN INC FL/RT PR SR-C*"	"AL.PR.E"	"011126"	"Floating Rate Preferred Shares"	"310"	"24.980"	"25.140"	"24.960"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"08/31/2007"	"0.062"	"0.00"	""
"ALCAN INC PF - SER E *"	"AL.PR.F"	"011127"	"Floating Rate Preferred Shares"	"310"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"09/01/2007"	"0.108"	"n/a"	""
"ALCAN INC U$ 5.2% 15JA14"	""	"R13369"	"Corporate Bonds"	"2606000"	"106.246"	"106.246"	"106.246"	"USD"	"n/a"	"CA"	"No"	"01/15/2014"	""	"5.200"	"n/a"	"2"	"Bond"	""	"0.000"	"4.89"	"3.501725"
"ALCATEL CANADA INC *"	"AT"	"011199"	"Common Stock"	"330"	"14.850"	"14.990"	"14.940"	"CAD"	"n/a"	"CA"	"No"	""	"T"	"0.000"	"n/a"	"1"	"Equity"	""	"0.893"	"5.98"	""
"ALCATEL-LUCENT ADR"	"ALU"	"011195"	"Common Stock"	"3158000"	"3.360"	"3.370"	"3.360"	"USD"	"n/a"	"FR"	"No"	""	"NYS"	"0.000"	"n/a"	"1"	"Equity"	"05/31/2007"	"0.216"	"6.42"	""
"ALCOA INC"	"AA"	"011368"	"Common Stock"	"315"	"13.380"	"13.390"	"13.390"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/04/2009"	"0.030"	"0.90"	""
"ALCON INC"	"ACL"	"011379"	"Common Stock"	"315"	"154.640"	"154.800"	"154.630"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"1"	"Equity"	"05/07/2009"	"3.645"	"2.36"	""
"ALEX NIHON CV 6.2% 30JN14"	"AN.DB"	"R13423"	"Convertible Debentures"	"2756000"	"135.900"	"135.900"	"135.900"	"CAD"	"n/a"	"CA"	"No"	"06/30/2014"	"TSE"	"6.200"	"n/a"	"2"	"Bond"	""	"0.000"	"4.56"	"0.000000"
"ALEXCO RESOURCES CORP"	"AXR"	"011514"	"Common Stock"	"330"	"3.270"	"3.300"	"3.270"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALEXIS NIHON REIT T/U *"	"AN.UN"	"011772"	"Real Estate Investment Trusts"	"3308001"	"18.540"	"18.610"	"18.540"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"05/10/2007"	"0.076"	"0.00"	""
"ALGENE BIOTECHNOLOGIES-B*"	""	"011888"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALGOMA STEEL 1% 31DC30*"	""	"R13589"	"Bonds (other)"	"2606000"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/31/2030"	""	"1.000"	"n/a"	"2"	"Bond"	""	"0.000"	"n/a"	"n/a"
"ALGOMA STEEL INC"	""	"012666"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALGOMA STEEL INC - NEW *"	"AGA"	"012660"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	"08/15/2005"	"6.000"	"n/a"	""
"ALGOMA STEL12.375%15JL05*"	""	"R13588"	"Discount Bonds (other)"	"2606000"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"CA"	"No"	"07/15/2005"	""	"0.000"	"n/a"	"0"	"Bond"	""	"0.000"	"n/a"	"n/a"
"ALGONQN P&U CV 7% 30JN17"	"AQN.DB.B"	"R13603"	"Convertible Debentures"	"2756000"	"109.000"	"110.500"	"109.000"	"CAD"	"n/a"	"CA"	"No"	"06/30/2017"	"TSE"	"7.000"	"n/a"	"1"	"Bond"	""	"0.000"	"6.42"	"5.484588"
"ALGONQN P&U CV6.35%30NV16"	"AQN.DB.A"	"R13601"	"Convertible Debentures"	"2756000"	"101.750"	"104.750"	"104.750"	"CAD"	"n/a"	"CA"	"No"	"11/30/2016"	"TSE"	"6.350"	"n/a"	"2"	"Bond"	""	"0.000"	"6.06"	"5.489335"
"ALGONQN PWR CV 6.2%30NV1*"	"APF.DB.A"	"R13597"	"Convertible Debentures"	"2766000"	"99.000"	"99.000"	"99.000"	"CAD"	"n/a"	"CA"	"No"	"11/30/2016"	"TSE"	"6.200"	"n/a"	"2"	"Bond"	""	"0.000"	"6.26"	"6.380679"
"ALGONQN PWR VENT/D/N"	"APV100"	"925267"	"Canadian Equity Funds"	"3807040"	"9.236"	"9.236"	"9.236"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALGONQUIN AIRSRC LPU-EXCH"	""	"012893"	"Common Stock"	"3308002"	"3.403"	"3.403"	"3.403"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"12"	"Equity"	"02/27/2008"	"0.075"	"0.00"	""
"ALGONQUIN POWER I/F T/U*"	"APF.UN"	"012888"	"Trust Units"	"3308001"	"0.000"	"0.000"	"3.264"	"USD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"09/28/2009"	"0.020"	"6.95"	""
"ALGONQUIN PWR&UTILITIES"	"AQN"	"012889"	"Common Stock"	"330"	"4.240"	"4.280"	"4.240"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"12/29/2009"	"0.020"	"5.66"	""
"ALIANT INC *"	"AIT"	"013302"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"06/13/2006"	"0.310"	"n/a"	""
"ALIANT TEL 6.65% 15OC09"	""	"R13904"	"Bonds (other)"	"2606000"	"107.132"	"107.132"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/15/2009"	""	"6.650"	"n/a"	"2"	"Bond"	""	"0.000"	"6.21"	"0.000000"
"ALIANT TEL 5.35% 15JA07S"	""	"R13916"	"Bonds (other)"	"2606000"	"100.003"	"100.003"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"01/15/2007"	""	"5.350"	"n/a"	"2"	"Bond"	""	"0.000"	"5.35"	"0.000000"
"ALIANT TEL CB 6.8% 11MY11"	""	"R13914"	"Bonds (other)"	"2606000"	"110.621"	"110.621"	"110.621"	"CAD"	"n/a"	"CA"	"No"	"05/11/2011"	""	"6.800"	"n/a"	"2"	"Bond"	""	"0.000"	"6.15"	"0.000000"
"ALIMENT COUCHE-TARD-B SV"	"ATD.B"	"013457"	"Common Stock"	"315"	"20.050"	"20.070"	"20.050"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"12/01/2009"	"0.035"	"0.70"	""
"ALIMENTATN COUCHE TRD MV"	"ATD.A"	"013456"	"Common Stock"	"330"	"19.510"	"21.980"	"19.510"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"12/01/2009"	"0.035"	"0.72"	""
"ALLBANC SPLIT CORP II PFD"	"ALB.PR.A"	"014771"	"Split Preferred Shares"	"3108005"	"25.200"	"25.300"	"25.200"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"11/10/2009"	"0.266"	"4.22"	""
"ALLEGHENY ENERGY INC"	"AYE"	"014375"	"Common Stock"	"315"	"21.910"	"21.920"	"21.920"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/10/2009"	"0.150"	"2.74"	""
"ALLEN-VANGUARD CORP"	"VRS"	"021727"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIANCE ATLANTIS CM A V*"	"AAC.A"	"014466"	"Common Stock"	"330"	"52.860"	"52.950"	"52.860"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIANCE ATLANTIS-B NV *"	"AAC.B"	"014467"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIANCE DATA SYSTEMS CRP"	"ADS"	"014482"	"Common Stock"	"315"	"60.280"	"60.330"	"60.250"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIANCE FOREST PRODS *"	""	"014480"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"09/24/2001"	"0.000"	"n/a"	""
"ALLIANCE GAMING CORP-NEW*"	"AGI"	"014672"	"Common Stock"	"315"	"14.920"	"14.940"	"14.940"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIANCE SPLIT INC CP T/*"	"ASI.UN"	"014739"	"Trust Units"	"3308001"	"14.160"	"15.740"	"14.160"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"07/29/2008"	"0.083"	"0.00"	""
"ALLIANCE SPLIT INCM FD P*"	"ASI.PR.A"	"014737"	"Preferred Shares"	"3108005"	"10.000"	"10.200"	"10.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"06/26/2008"	"0.150"	"0.00"	""
"ALLIANCEBERNSTEIN HLD LPU"	"AB"	"013267"	"Common Stock"	"3158002"	"27.700"	"27.730"	"27.730"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/05/2009"	"0.670"	"9.66"	""
"ALLIANZ SE-ADR"	"AZ"	"014825"	"Common Stock"	"3158000"	"0.000"	"0.000"	"11.430"	"USD"	"n/a"	"DE"	"No"	""	"NYS"	"0.000"	"n/a"	"1"	"Equity"	"04/27/2009"	"0.462"	"4.04"	""
"ALLICAN RESOURCES INC"	"ALI"	"014843"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALLIED CAPITAL CORP"	"ALD"	"014957"	"Common Stock"	"315"	"4.200"	"4.210"	"4.210"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/10/2008"	"0.650"	"0.00"	""
"ALLIED DOMECQ PLC-BP 25"	"0729457"	"015249"	"Common Stock"	"330"	"9.160"	"9.160"	"9.160"	"CAD"	"n/a"	"ZZ"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"01/02/2002"	"0.084"	"n/a"	""
"ALLIED IRISH BKS SPON-ADR"	"AIB"	"015217"	"Common Stock"	"3158000"	"3.880"	"3.900"	"3.890"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"2"	"Equity"	"08/06/2008"	"0.851"	"43.74"	""
"ALLIED PTYS R/EST INV T/U"	"AP.UN"	"014963"	"Real Estate Investment Trusts"	"3308001"	"20.020"	"20.130"	"20.130"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.110"	"6.56"	""
"ALLSTATE CORP"	"ALL"	"013880"	"Common Stock"	"315"	"30.350"	"30.360"	"30.350"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/25/2009"	"0.200"	"2.64"	""
"ALLTEL CORP *"	"AT"	"016450"	"Common Stock"	"330"	"71.460"	"71.470"	"71.460"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"09/05/2007"	"0.125"	"0.00"	""
"ALMADEN MINERALS LTD"	"AMM"	"016529"	"Common Stock"	"330"	"1.030"	"1.050"	"1.030"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALPHA GOLD CORP"	"ALQ"	"016580"	"Common Stock"	"330"	"0.085"	"0.090"	"0.090"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALPHANET TELECOM INC"	""	"016634"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALT CDN EQ GW /NL/N"	"NBC887"	"991530"	"Canadian Equity Funds"	"3807154"	"35.590"	"35.590"	"35.590"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALT CSH PERFM-F/NL/N"	"NBC200"	"991604"	"Canadian Money Market Funds"	"3807850"	"1.000"	"1.000"	"1.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"12"	"Mutual Fund"	"04/30/2008"	"0.001"	"0.00"	""
"ALT GL DVF /NL/N"	"NBC191"	"991524"	"Balanced Funds"	"3807520"	"14.050"	"14.050"	"14.050"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"1"	"Mutual Fund"	"06/12/2009"	"0.119"	"0.85"	""
"ALT GL SML CO /NL/N"	"NBC889"	"991576"	"International Equity Funds"	"3807510"	"8.290"	"8.290"	"8.290"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"1"	"Mutual Fund"	"12/29/2008"	"0.075"	"0.91"	""
"ALT H/I C/PRFU$/NL/N"	"NBC101"	"998907"	"Money Market Funds"	"3807000"	"1.000"	"1.000"	"1.000"	"USD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"12"	"Mutual Fund"	"04/30/2008"	"0.000"	"0.00"	""
"ALT H/I CSH PRF/NL/N"	"NBC100"	"991531"	"Canadian Money Market Funds"	"3807850"	"1.000"	"1.000"	"1.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	"01/01/2010"	"0.000"	"n/a"	""
"ALT HI YLD BND /NL/N"	"NBC813"	"975773"	"Bond Funds"	"3807680"	"7.850"	"7.850"	"7.850"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"12"	"Mutual Fund"	"01/25/2010"	"0.035"	"5.42"	""
"ALT SEL AME /NL/N"	"NBC169"	"991560"	"US Equity Funds"	"3807255"	"27.220"	"27.220"	"27.220"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALTA ENERGY 6.1% 1JN09"	""	"R13010"	"Bonds (other)"	"2606000"	"108.295"	"108.295"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/01/2009"	""	"6.100"	"n/a"	"2"	"Bond"	""	"0.000"	"5.63"	"0.000000"
"ALTA ENERGY 7.15% 17DC09"	""	"R13011"	"Bonds (other)"	"2606000"	"112.676"	"112.676"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/17/2009"	""	"7.150"	"n/a"	"2"	"Bond"	""	"0.000"	"6.35"	"0.000000"
"ALTA ENG 144A 5.95% 2JN08"	""	"R13003"	"Bonds (other)"	"2606000"	"106.941"	"106.941"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"06/02/2008"	""	"5.950"	"n/a"	"2"	"Bond"	""	"0.000"	"5.56"	"0.000000"
"ALTA ENGY CB 7.1%11OC11S*"	""	"R13022"	"Bonds (other)"	"2606000"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/11/2011"	""	"7.100"	"n/a"	"2"	"Bond"	""	"0.000"	"n/a"	"n/a"
"ALTA ENGY PFD 8.5% COPRS*"	"AEC.PR.A"	"009559"	"Preferred Shares"	"3108003"	"26.500"	"26.600"	"26.450"	"CAD"	"n/a"	"CA"	"No"	"01/01/2075"	"T"	"0.000"	"n/a"	"4"	"Equity"	"01/03/2003"	"0.531"	"0.00"	""
"ALTA ENGY-CB 8.5%20DC40*"	""	"R13020"	"Bonds (other)"	"2606000"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/20/2040"	""	"8.500"	"n/a"	"2"	"Bond"	""	"0.000"	"n/a"	"n/a"
"ALTA ENGY-MTN 7.3% 2SP14"	""	"R13014"	"Bonds (other)"	"2606000"	"121.016"	"121.016"	"121.016"	"CAD"	"n/a"	"CA"	"No"	"09/02/2014"	""	"7.300"	"n/a"	"2"	"Bond"	""	"0.000"	"6.03"	"2.440859"
"ALTA MUN FIN 5.85% 1JN12"	""	"B85539"	"Provincial Bonds"	"2601305"	"109.482"	"109.482"	"109.482"	"CAD"	"n/a"	"CA"	"No"	"06/01/2012"	""	"5.850"	"n/a"	"2"	"Bond"	""	"0.000"	"5.34"	"1.713051"
"ALTA-SU-97 P/N 7% 21AG06*"	""	"B83534"	"Provincial Bonds"	"2601301"	"108.692"	"108.692"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"08/21/2006"	""	"7.000"	"n/a"	"1"	"Bond"	""	"0.000"	"6.44"	"0.000000"
"ALTACHEM PHARMA LTD *"	"AAF"	"010906"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"V"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALTAGAS INCOME T/U"	"ALA.UN"	"016917"	"Trust Units"	"3308001"	"18.550"	"18.580"	"18.550"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/21/2010"	"0.180"	"11.64"	""
"ALTAGAS UTILITY GROUP IN*"	"AUI"	"018611"	"Common Stock"	"330"	"10.430"	"10.650"	"10.430"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"09/28/2009"	"0.050"	"1.92"	""
"ALTAM ACT FDS"	"AIS503C"	"991529"	"Canadian Equity Funds"	"3807150"	"24.310"	"24.310"	"24.310"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALTAM AMER SEL /SF"	"AIS916C"	"991561"	"US Equity Funds"	"3807250"	"42.470"	"42.470"	"42.470"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALTAM DIVF MDL"	"AIS500"	"991523"	"Investment Funds"	"3807600"	"18.890"	"18.890"	"18.890"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"1"	"Mutual Fund"	"12/17/2007"	"0.198"	"1.05"	""
"ALTAM RES /SF"	"AIS508C"	"991568"	"Canadian Resource Equity Funds"	"3807200"	"8.260"	"8.260"	"8.260"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"ALTAREX CORP *"	""	"017059"	"Common Stock"	"330"	"1.840"	"1.840"	"1.840"	"CAD"	"n/a"	"CA"	"No"	""	"C"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALTAREX CORP *"	""	"017151"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALTAREX CORP *"	""	"017028"	"Common Stock"	"330"	"0.000"	"1.500"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"11/22/2000"	"0.000"	"n/a"	""
"ALTAREX MEDICAL CORP *"	""	"017186"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALTAVISTA MINES INC *"	""	"442761"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"07/25/2000"	"0.000"	"n/a"	""
"ALTEK POWER CORP"	"APK"	"017078"	"Common Stock"	"330"	"0.010"	"0.015"	"0.010"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ALTRIA GROUP INC"	"MO"	"017248"	"Common Stock"	"315"	"19.920"	"19.930"	"19.910"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/28/2009"	"0.340"	"6.83"	""
"ALTUS GROUP INCM FD T/U"	"AIF.UN"	"021783"	"Trust Units"	"3308001"	"13.750"	"13.930"	"13.950"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.100"	"8.60"	""
"ALUMINUM CO OF AMERICA"	"AA"	"017749"	"Common Stock"	"315"	"74.562"	"74.562"	"74.562"	"USD"	"n/a"	"US"	"No"	""	"NY"	"0.000"	"n/a"	"4"	"Equity"	""	"0.250"	"0.00"	""
"ALUMINUM CRP OF CHINA-ADR"	"ACH"	"017752"	"Common Stock"	"3158000"	"27.530"	"27.560"	"27.520"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	"09/23/2008"	"0.190"	"n/a"	""
"AMALGAMATED INCM LPU"	"AI.UN"	"020907"	"Trust Units"	"3308002"	"3.380"	"3.500"	"3.380"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.060"	"21.30"	""
"AMALGAMATED INCOME LP*"	"AI.UN"	"018290"	"Common Stock"	"3308002"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"10/27/2005"	"0.013"	"n/a"	""
"AMANDA RESOURCES LTD *"	""	"018600"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMAZON COM INC"	"AMZN"	"018888"	"Common Stock"	"315"	"120.270"	"120.360"	"120.310"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMBRILIA BIOPHARMA"	"AMB"	"019052"	"Common Stock"	"330"	"0.035"	"0.040"	"0.035"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMBRILIA BIOPHARMA INC *"	"AMB"	"019045"	"Common Stock"	"330"	"0.405"	"0.410"	"0.410"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMC INVESTORS INC"	""	"000442"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMCOR LTD ADR"	"AMCRY"	"019008"	"Common Stock"	"3308000"	"0.000"	"0.000"	"21.310"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"2"	"Equity"	"08/25/2009"	"0.590"	"5.54"	""
"AMDAHL CORP COM *"	""	"019050"	"Common Stock"	"330"	"12.375"	"12.375"	"0.000"	"USD"	"n/a"	"US"	"No"	""	""	"0.000"	"n/a"	"4"	"Equity"	""	"0.013"	"0.40"	""
"AMDOCS LTD"	"DOX"	"019064"	"Common Stock"	"315"	"29.470"	"29.480"	"29.450"	"USD"	"n/a"	"GB"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMER EXPRESS 4.7% 20MY11"	""	"R16948"	"Corporate Bonds"	"2606000"	"103.471"	"103.471"	"103.471"	"CAD"	"n/a"	"CA"	"No"	"05/20/2011"	""	"4.700"	"n/a"	"2"	"Bond"	""	"0.000"	"4.54"	"2.015336"
"AMER INTL GROUP INC *"	"AIG"	"022350"	"Common Stock"	"330"	"1.130"	"1.160"	"1.160"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"09/03/2008"	"0.220"	"0.00"	""
"AMER POWER CONV CORP *"	"APCC"	"024355"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"4"	"Equity"	"11/24/2006"	"0.100"	"n/a"	""
"AMER PRESIDENT CO LTD"	"APS"	"025350"	"Common Stock"	"315"	"23.000"	"23.000"	"23.000"	"USD"	"n/a"	"US"	"No"	""	"NY"	"0.000"	"n/a"	"4"	"Equity"	""	"0.100"	"0.00"	""
"AMER TRANSPORTATN TV NTWK"	""	"026038"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AMEREN CORP"	"AEE"	"019209"	"Common Stock"	"315"	"25.890"	"25.900"	"25.910"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/07/2009"	"0.385"	"5.94"	""
